id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
htget,,HTGET,HTGET est un gestionnaire de fichiers qui récupérera des fichiers à partir de serveurs HTTP.,,"freedos, htget",,"DOS, FreeDOS","GNU General Public License, Version 2",8d7eccbb7e002c49d4d329bd061c1c3805b244f1919178fb1c53e74bd9fff77c
htmlhelp,,Help,Visionneur HTML et contenu de l'aide de  FreeDOS,,"aide, html",,"DOS, Turbo C++; Html",Express+GNU Free Documentation License,75540618878932c875c81e8c89c1a3ba218aae04f0c0ad0eceb5104f9376fce2
i16budoc,,IA-16 GNU Binutils documentation,Documentation pour les utilitaires binaires GNU pour une cible ia16-elf,,"gcc, compiler, binutils, as, ld, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",c7c8fb2eb0532d062c692093059571649e5e2eea559935debabda706467b027e
i16butil,,IA-16 GNU Binutils,"Utilitaires binaires GNU, pour une cible ia16-elf (sur un hôte DJGPP)",,"gcc, compiler, binutils, as, ld, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",6955d177ab97e0767e330bf2f0f75fffc97254acfd21f3001344a970c3ad6cb9
i16elklc,,IA-16 elks-libc,"libc natif pour ELKS OS, pour la compilation croisée avec GCC IA-16",,"gcc, compiler, elks-libc, djgpp, ia16, elf",,"DOS, Linux","GNU Library General Public License, version 2 or later",4e0ee87baf96e28d56024845576c064d87ae2e52279b74c7a3f480710998edf9
i16gcc,,IA-16 GCC,Compilateur C GNU pour la cible ia16-elf  (sur un hôte  DJGPP 32 bits),,"gcc, compiler, c, c99, c11, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",9fc509de5dd7accbc3c22659cc12305a184b8e5698c4fc96e7fbc583a10a4290
i16gcdoc,,IA-16 GCC documentation,Documentation pour le compilateur C GNU pour la cible ia16-elf,,"gcc, compiler, c, c99, c11, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",4db584dc781437eedc4b8119797765cb3dc439dbf0e842f5cfd88f76eb705e62
i16lbi86,,IA-16 libi86,"Routines de bibliothèque C non standard, à utiliser avec IA-16 GCC",,"gcc, compiler, libi86, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",610014efc9823d4e684424dc4860f54cb04ca555b17481972fa2bc5f62656e9e
i16newli,,IA-16 Newlib,"Librairie C  et librairie mathématique, pour la cible ia16-elf",,"gcc, compiler, newlib, libc, libm, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",4f2533a696bfabb7fb945ceaefabbebd4253b258888ba11829f2f76aa698ee40
i16nlelk,,IA-16 Newlib support libraries for ELKS,Librairies pour compiler les programmes ELKS OS avec GCC IA-16 et Newlib,,"gcc, compiler, elks, newlib, libelks, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",dde56096ce3162bf74e7386aa413740436a9e37803cb7df278e3509e310e739d
