id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
tail,,tail,Afficher la dernière partie d'un fichier. Similaire à 'Tail' sur UNIX.,,"tail, unix, fichier",,"DOS, FreeDOS",Open Source,34767ee1deb7e9eb819428ec3b6e7d3adad3d78bc89f3fbe77fd4f15baa73ca9
tar,,TAR (GNU TAR),Un créateur d'archives sur bande magnétique,,"Créateur d'archives, bande magnétique",,"DOS, FreeDOS","GNU General Public License, Version 2",95494ea8f8d7e0c1474b749f5af9b58e80b59097f5d273118cae55c23f2f1bc7
tde,,TDE (Thomson-Davis Editor),"TDE est un éditeur de fichiers texte et binaire simple, du domaine public, gérant les fichiers et fenêtres multiples écrit pour les PC IBM et compatibles proches fonctionnant sous DOS et Win32 (console)",,"éditer, éditeur, texte",,"DOS, FreeDOS, Win32 (console) Linux",Public Domain,ff136bfd6a5c62237bbaa9424602a8caa7f9a8fbb9c7b2cb920512c7fecb0724
tee,,TEE,"Enregistre une copie de son entrée dans un fichier, tout en imprimant une copie sur stdout",,"tee, unix",,"DOS (OpenWatcom C), FreeDOS","GNU General Public License, Version 2",6b8d0150a1b569fdc284b727b7fb0426a0bb124d337379ad0235b5674f673b1d
teo,,Teo,Émulateur du microordinateur Thomson TO8.,,"Thomson, emulation",,DOS,"Free with restrictions, see license",15e8c5abe79d05f388edc35100cf9d9814f4c2bccf9a3754bccadda826f09aab
terminal,,terminal,Un petit terminal vt100/ansi pour tous les PC,,"terminal, rs-232, vt100",,DOS (nasm),"GNU General Public License, Version 2",a52bd5d1bd161f59699cc831ffb7f58211012877066696071b376ff7a7c9a416
testdisk,,Testdisk (and Photorec),Testdisk vérifie les partitions/secteur d'amorçage des disques ; Photorec récupère de nombreuses types de données,,"testdisk, photorec, data, recover, test",,DOS,"GNU General Public License, Version 2",65fe7e08601cc56a47bcdd9de89907f89afcd6be85169bdfbe9a7c8a70eb7504
tetris2k,,SmallTetrris,DOS Tetris 2Ko de taille,,"Tetris, Games",,"DOS, TASM 3.0",Free w/Sources,f203b81ab4e6fa1e79f12b132c9af30ed560a42f3b0cad0213284e536b82cfdc
tinyasm,,TinyASM,Tinyasm est un petit assembleur pour les programmes 8086/8088 et il peut fonctionner sur une vraie machine PC XT. Il nécessite au moins 128 Ko de mémoire.,,"assembler, asm",,DOS,Simplified (2-Clause) BSD License,b21c57f94fdaafb389970794323d36432c7c2819772cf477a6a7739db55041ad
topspin,,topspin,Un programme d'interprétation de menus qui permettra aux utilisateurs de créer des environnements 'intégrés' là où il n'en existe aucun.,,"menu, système, utilitaire",,"DOS, FreeDOS","GNU General Public License, Version 2",09b0efdedbbeb99b85007915c9dfaa8d78b2f914f454a18864c54773d35d8242
touch,,TOUCH,Définir la date et l'heure sur un fichier comme avec *nix 'touch',,"touch, horodatage, unix",,"DOS (2.0, 8086), FreeDOS","GNU General Public License, Version 2",d1742e0f5a465d4907812efbe58abdb8f5c36fed17c5ee4e5477855e3585ba25
tpasm,,TPASM,"TPASM est 'un assembleur croisé fondé sur Unix pour 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR et c166.'","TPASM est «un assembleur croisé basé sur Unix pour 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR et c166». Merci à dec_hl d'avoir créé une version pour FreeDOS (la compilation des binaires utilise DJGPP, gcc version 8.2.0 ; voir Makefile.dj2). Pour le reste, ceci est une copie des sources officielles TPASM de Todd Squires ; Todd maintient toujours TPASM, donc dec_hl vous demande de contacter Todd pour tout problème concernant les erreurs d'assemblage ou les améliorations.","mpasm, asm, assembler, assembly",,DOS,"GNU General Public License, Version 2",b36f482276aefc8a465b56e7489fe892ccb55f8b7f1efa92ba728fc81d0ee547
tppatch,,TPPATCH,Outil de correction du bogue RUNTIME 200 dans les programmes compilés avec Turbo Pascal.,,"runtime, tp",,DOS,"Free, no sources",1fac9f5f4031e85a1eda138f21784d6f8f9715828e66e80b13e4f868c32f86c6
trch,,trch,"Traduit les caractères. Auparavant, c'était le programme UNIX2DOS, mais la traduction de caractères peut faire plus pour vous. [Similaire à, mais différent de, UNIX 'tr'.] (Comprend Cats GNU LGPL)",,"trch, unix2dos, tr",,"DOS (Borland C), FreeDOS","GNU General Public License, Version 2",fd31f11591924492dd9bd07d779801cfd000992c627d5a787bd1a24d89504bc3
tree,,Tree,Affiche graphiquement la structure de répertoires d'un lecteur ou d'un chemin.,,"tree, FreeDOS, DOS, Win32",,"DOS (TC2, TC++1, TC30, BC31, BC45, MicroC v3*, Pacific C*, Digital Mars),","GNU General Public License, Version 2",e632d08027ef1fbcfc87787de3ead1be39a761c28801bb8c3b5c5b6860b53f6a
ttf2fnt1,,GNU ttf2fnt,TTF2FNT vous permet de convertir les fichiers .TTF en polices DOS bitmap. (N.B. This is a Win32 GUI .EXE.),,gpl ttf2fnt win32 dos freedos ttf font vga bitmap,,"Win32, Delphi 3","GNU General Public License, Version 2",57ded615eb8d129f4111e9433edcdb13b089ab7a4ca7a7884b94bd69713e8bd6
udvd2,,udvd2,Pilote de lecteur CD/DVD UltraDMA,,"cd, dvd, pilote",,DOS,Free w/sources,f9eefd86a37904569e9a6dc3606a8837ab00cf6f811e222893f018837509367e
uhdd,,UHDD,UHDD est un pilote de mise en cache sur disque uniquement pour un maximum de 22 disques BIOS sur un maximum de 9 contrôleurs «Legacy» et PCI natif SATA/IDE.,,"cache, disk, driver, ide, sata",,DOS,Free w/sources,87d8f9c8643cc44f6962dc0d0fa246cf3472c760281c7f2a3a212c75415ae9ed
uhex,,uHex,uHex est un éditeur hexadécimal simple et rapide,,"hexadécimal,éditeur,visionneur",,DOS,Simplified (2-clause) BSD License,0332ba0b4bf5f1787eeb51610dfb2f783bc05235027f58021c1446d8580a39f5
uide,,UIDE,"Un pilote de mise en mémoire tampon à usage général pour les lecteurs DOS, les disquettes, les CD/DVD, les disques SATA et UltraDMA",,"ahci, cache, cc, cd, cd-rom, cdrom, disk, dma, driver, eide, floppy, ide, pata, rom, sata, sata, uhdd, uide, ultra",,DOS,Free w/sources,6860ec891ced528df8100a259b957426c5076e1987a1f71a1eb4a0372ef44c15
umm,,UMM,"Activateur UMB, enregistre la mémoire matérielle UMB comme disponible, nécessite 286+",,"UMB, memory",,dos,"GNU General Public License, Version 2",0ec865e6f324fcbe05eb6e2d88154b515fc86d61f2c1a803cafdc0b018be9213
undelete,,Undelete,Undelete permet de restaurer des fichiers effacés (mais récupérables) à partir d'un système de fichiers FAT16/FAT32.,,"undelete, unerase, récupération",,"DOS, FreeDOS","GNU General Public License, Version 2",3258e7d5f8fa7aca7178167494ec4fc888ce2fae6084b4ca779dca3a0960e7ae
unformat,,UNFORMAT,Restaurer un disque que vous avez accidentellement formaté.,,"formater, restaurer, disque dur",,"DOS, FreeDOS",GNU General Public License,1ff8a2f77ed349bb73221037ea0d79d60e4b69873d8399f5dd7037005a1e98d9
unrar,,UnRAR,UnRAR est un décompresseur de fichiers .RAR,,"UnRAR, RAR, décompresseur, archive",,DOS,"Freeware, see license.txt",38db894d9ac2c562b3679eaec32f3ad727828c090b2510050f5b9d5e3340e2e2
unrtf,,UnRTF,"Convertit les documents au format RTF en d'autres formats (html,latex,txt...)",,rtf,,DOS,"GNU General Public License, Version 3",d9315cc66494a80a83b604608dfa4c298d479f18d09bfeaf47a86a46ed26d560
unzip,,UnZip,"Un outil de décompression de fichiers, similaire à PKUNZIP.",,"freedos, unzip, infozip, pkunzip",,"dos, unix, mac","Open Source, see license",00227e5b6f6b7d168973b1355ff74402d3785c89b68675fbd1c72dac2d436729
uptime,,uptime,"Indique la durée de fonctionnement, même à l'intérieur de DOSEmu. Similaire à 'uptime' d'UNIX.",,uptime,,"DOS, FreeDOS",Source Code Available (open),b1d45ae900ba8a31e78b58a22c86e0c64b15727cb457970e2212e843c365bd84
uptimec,,Uptime (Chamorro),"Indique la durée de fonctionnement, même à l'intérieur de DOSEmu. Similaire à 'uptime' d'UNIX.","UPTIME est un utilitaire DOS 16 bits qui affiche la durée de fonctionnement du système en détectant automatiquement quand il a été démarré. Il réplique uptime de *NIX, une des commandes UNIX de base qui vous permet de confirmer rapidement la durée de fonctionnement de votre système depuis son dernier redémarrage ou sa dernière mise sous tension.",uptime,,"DOS, FreeDOS","GNU Lesser General Public License, Version 3",520322b290280a4df3cb612fbdecadb84844e4f2eb5523b9c7584b3089d94067
upx,,UPX,"UPX est un empaqueteur libre, portable, extensible et performant pour différents formats exécutables.",,empaqueteur d'exécutables,,DOS,"GNU General Public License, Version 2",332ec4efc0d378cf58b62e37d5414ba3842563e43c4ef07c9d56e637edb81bb4
urthwurm,,UrthWurm,Guider un ver à travers 10 niveaux de grottes (remake de SFCave),,"SFCave,urthwurm",,DOS,Free w/Sources,271a398f5db429ac4fedd5b11a2b0dd06b44acae6524bcd74a39504545ffa2ec
usbdos,,USBDOS,"Collection de pilotes DOS, pour UHCI (USB 1.1 12Mbit/1.5mbit)",,DOS USB pilote clavier souris port uhci ohci ehci xhci,,DOS,"Freeware, see documentation",0b0fb557a0950c7c7c6cf347579a9f52b69700d67715597276c2546018fa9af5
use_umbs,,USE!UMBS,Fournisseur de mémoire UMB (activateur),,umb,,dos,Public Domain,1805a0713ecc906a0442e7061a381e0c7c9059d06fce515de1b3549441721b63
utf8tocp,,utf8tocp,Convertit les fichiers texte UTF-8 en d'autres pages de code et vice versa,,"page de codes, convertisseur",,DOS,Simplified (2-Clause) BSD License,83aee0255e5b24a50e36762ce1e5cc0d4d7c2ecea0669907aa622ac9551451ab
v8power,,V8Power Tools,Un ensemble d'utilitaires d'amélioration de fichiers batch pour DOS pouvant fournir une interface utilisateur texte et d'autres fonctions de traitement,,dos 16 bits batch vask vchoice vecho vpause vframe vmath vline vprogres veach,,DOS,"GNU General Public License, Version 2",c1bd5fabf11721d4f0c66fbadc14bfeec0b5050cd45d6479897a973add55c507
vertigo,,Vertigo,Un simulateur de vol qui se concentre sur le réalisme du modèle de vol.,,,,"DOS, GNU/Linux, BeOS","GNU General Public License, Version 2",16b38c825a30494599d859184f45fc75115b804259abc3625667895862b8e8ed
vgapal,,VGAPAL,Utilitaire VGA en mode texte de palette de couleurs,,dos 16 bits,,DOS,MIT License,0f497e24fa325947797e6220a259add313fcd35f3329328a29fc3888f036bb25
vice,,VICE,"Émulateur Commodore 8 bits polyvalent, émule C64, C128, VIC20, PET, PLUS4 et CBM II.",,"commodore, émulateur, émulation",,DOS,"GNU General Public License, Version 2",5dcb9690a8168f9418014248da117922eb3fd8ef3ff2c8b20e70326e880cd0fa
vim,,Vi IMproved (vim),Version améliorée de l'éditeur 'vi',"VIM est une version améliorée de l'éditeur 'vi', l'un des éditeurs de texte standard sur les systèmes UNIX. Ce sont les fichiers d'exécution pour VIM. [Compatible avec la GPL, mais si vous trouvez le logiciel utile, la licence vous demande de faire un don pour aider les enfants en Ouganda à travers l'ICCF. Le texte complet de la licence se trouve dans le fichier README.txt.] DOS 32 bits uniquement (depuis 7.1).","éditeur, vi, vim",,"*nix, Windows, Macintosh, DOS, others",Source code available (open),7397e5d2588cdedd1bde4a638d07ac7d566cac3033bdfd8480462cae7ff87daf
vitetris,,Vitetris,Un clone de Tetris en mode texte.,,,,"DOS, GNU/Linux, Windows",Simplified (2-Clause) BSD License,555bdb21286b3289a857ea4feab58b09e89d6f4716308d6eee35914d2568b932
vmsmount,,VMSMOUNT,Une redirection DOS pour monter les dossiers partagés Vmware,,vmware,,DOS,"GNU General Public License, Version 2",a2d115b9f9ea746e117e97211b6a6527b42680fc7022dc477016ffed357fa308
vncview,,VNC Viewer 8086,"Visionneur VNC pour 8086+, basé sur Xvncviewer",,"VNC, 8086",,DOS,"GNU General Public License, Version 2",a4b448e6042a403e1963212b878197a901ade2cc89b3c56a6cce74be35e211b5
wattcp,,WATTCP,WATTCP,,"freedos, curl",,FreeDOS,Open source,fbcbbabe832daef6781a97b82e826bd5d0ecdcc78807ab38f26faecc2a5c8c3d
wcd,,wcd,"Wherever Change Directory (WCD) version 16 bits pour DOS, un clone de Norton Change Directory (NCD) avec plus de fonctionnalités.",,"chdir, cd, changer de répertoire, rapide",,"DOS, Windows, Unix","GNU General Public License, Version 2",1b610d69a58eaf041be3afc7408ee8fe6060afcbfaa4ec92c1dc6dd6dc8190c2
wde,,WDE,Wde est un éditeur de disques.,,"Wde, disque, éditeur",,DOS,"GNU General Public License, Version 2",746834698757f3f42be5c6f349add3b99eea49520956905f08e1b7f708a6f00e
welcome,,Welcome to FreeDOS,Le message 'Bienvenue à FreeDOS 1.2' qui est affiché au démarrage du système.,,bienvenue amorçage message autoexec config,,DOS,"GNU General Public License, Version 2",b8ce519688e4e29be6d0fbee704138d26751e4ad2ea9539dc9a52858c6ab252c
wget,,Wget,L'outil de téléchargement non interactif.,,"freedos, wget",,FreeDOS,"GNU General Public License, Version 3",3a0f7b047b938ba20650e9bb730db5ba55cac1fdc2086f9088f9d9ba93fe8441
which,,which,"which est un utilitaire né dans le monde UNIX qui permet aux utilisateurs de trouver des fichiers exécutables dans les répertoires listés dans la variable d'environnement PATH. Prise en charge complète des caractères génériques, noms de chemins relatifs, détails de fichier facultatifs (taille, date). Extensions de programme définissables par l'utilisateur, format de page/date correct pour la page de codes. Nouveau support DOS switchar.",,"DOS, extension, fichier, utilitaire, trouver, localiser, PATH",,"DOS, Compilateur: Borland Turbo Pascal 7.0","GNU General Public License, Version 2",2f1387d0c92fe0de13c7ddaafae45adf6bd839736023717a9171dffad78fc5d7
whichfat,,WhichFAT,Détection de la prise en charge FAT32 par le noyau et détection de type FAT (12-32) par lecteur,,"freedos, fat, disque",,,Public Domain,3ec09dfb702ee88bc04a2e2dbf2dbe95c2b38c2c7fd5875ce1ca02eabb9ef729
wing,,Wing,Un jeu de tir dans l'espace similaire à galaga.,,galaga,,DOS,"GNU General Public License, Version 2",06612642fed743ab8db7631cd0b9210c12e9921e62dbbeb576e5d69bd0e5dbad
wptail,,Whiptail,Créer des boîtes de dialogue et des formulaires TUI et collecter les entrées utilisateur à l'aide de libnewt,,"dialogue, whiptail, newt, gpm",,"Unix, DOS","GNU Library General Public License, Version 2",93a638d9e34c030e753f335c42cf6fee27d11e7607e527944ae08d13a21ced3d
ww1,,Word Whiz Volume 1,Un jeu-questionnaire basé en mode texte.,,,,DOS,"GNU General Public License, Version 2",0bae1744bcc596912145f87776478641e351e3f60fc33d65f61257aeab60c4a0
xargon,,Xargon,Jeu de plateforme à défilement horizontal similaire à Jill of the Jungle,,,,DOS,Kiloblaster and Xargon Freeware License,5886e0659ef97dcd7767c587e9798a9d8df6c77629b5776cbeb30fd24aa69855
xcdrom,,XCDROM,Pilote CD-ROM UDMA et non-UDMA pour DOS,,"Ultra DMA, DOS, CD-ROM, CDROM, XCDROM",,DOS (NASM),Free no sources,c79a9e140898fa445b8f70ea8008793bec763dc7d0e65e1e8c4f60a921d204fb
xcopy,,XCopy,Copie les fichiers et les arborescences de répertoires.,,"freedos, copier, xcopy, kitten",,DOS,"GNU General Public License, Version 2",f5c955341d5072997d094e3923813b7d7d944b9d809f9e649cff0d0ffe2c2338
xdel,,xDel,"Effaceur de fichier étendu, similaire à DR-DOS",,"xdel, del, deltree, effacer",,DOS,"GNU General Public License, Version 2",8b81c049165fe65d9e475e6e204a70019bc5ffa56585b2abf78e7880e4dd6e7c
xdma,,XDMA,Pilote UDMA pour DOS : jusqu'à 4 disques durs de tailles illimitée,,"Ultra DMA,Ultra ATA,Bus Master,IDE,ATA,VDS,DMA,CHS,EDD,LBA,XMS",,DOS (NASM),Free without source,2811d5a1a57fcbcd9eb773fc3be3ac5438703a427621353bd1b642ced0299228
xfdisk,,Xfdisk,Xfdisk est un logiciel similaire à fdisk qui est utilisé pour partitionner les disques.,,"Xfdisk, fdisk, partition, disque dur, hdd",,DOS,"GNU General Public License, Version 2",dabda699b9d7be4c8e9132409d7cfd57bf3ca64086a708f3e9d0586f06c0150e
xgrep,,XGREP,Clone de `grep' sur UNIX rapide prenant en charge les expressions régulières,,"freedos, fichiers, trouver, grep, chercher, texte, similaire à UNIX",,"DOS (Arrowsoft Assembler, WarpLink)",Zero Clause BSD License,d48897d5519e143c70f5028f05b008bec1bcd526191230bda21b0c725abde944
xkeyb,,xkeyb,Pilote de clavier pour la prise en charge du support international. Comprend également KEYMAN + KLIB + LISTXDEF + SCANKBD,,"keyb, clavier, pilote",,"DOS, FreeDOS","GNU General Public License, Version 2",73a7d5fc5fbaed3a2a20e4ba3ff1712301d20313124797b2e73efc6e28e69d3e
xmgr,,XMGR,XMGR est un gestionnaire XMS qui gère jusqu'à 4 Go de RAM et prend en charge V3.70 + UMBPCI,,"driver, manager, ram, umb, xms",,"DOS, MASM 5.1",Free w/sources,2de10174e53450a802a2cf4e373da5a9dbecfc648723127189a2061d603e37ba
yapcbr,,Yet Another PC Bridge,Pont de couche 2 pour les pilotes de paquets (transforme un PC en commutateur),"Ce pont appartient à la classe des ponts transparents à auto-apprentissage. Vous pouvez utiliser n'importe quelle carte Ethernet (ou un mélange de cartes de différents fournisseurs) pour ce pont. Il vous suffit d'avoir les pilotes de paquets appropriés pour ces cartes. Les pilotes de paquets pour la plupart des cartes Ethernet sont dans le domaine public et peuvent être obtenus sur crynwr.com. Ce pont peut être configuré à l'aide d'un PC ou d'un AT (un disque dur n'est pas nécessaire, un lecteur de disquette est suffisant) exécutant la version 3.0 ou supérieure de MSDOS. Ce n'est pas un pont d'arbre couvrant et ne peut donc pas détecter les boucles dans les chemins réseau.",bridge,,dos,"GNU General Public License, Version 1",cbe11727c3edc9251dccb52e09dd170f5a8d3079d93ce5f94d1fe7a2e2dfc005
yasm,,Yasm,Yasm est une réécriture complète de l'assembleur NASM. (Compressée avec UPX),"Yasm est une réécriture complète de l'assembleur NASM sous la «nouvelle» licence BSD (certaines parties sont sous d'autres licences, voyez COPYING pour plus de détails).Yasm prend actuellement en charge les jeux d'instructions x86 et AMD64, accepte les syntaxes d'assembleur NASM et GAS, génère des formats objet aux formats binaires, ELF32, ELF64, 32 et 64 bits Mach-O, RDOFF2, COFF, Win32 et Win64 et génère des informations de débogage source aux formats STABS, DWARF 2 et CodeView 8. Yasm peut être facilement intégré dans Visual Studio 2005/2008 et 2010 pour l'assemblage du code de syntaxe NASM ou GAS dans des fichiers objets Win32 ou Win64.","nasm, asm, gas, yasm, assembler, assembly, DJGPP, Visual Studio",,DOS,Simplified (2-Clause) BSD License and Revised (3-Clause) BSD License,510c01309a343457648600b590081e0d553796c3b24d003c7b7f512ff101cc6e
z26,,z26,Un émulateur Atari 2600,,"atari, émulation",,DOS,"GNU General Public License, Version 2",e2817e0340a5611dac35da2231887969c023e8f561d51e29e21dbdbe0eb54d20
zboy,,zBoy,Émulateur GameBoy classic,,"gameboy, émulateur",,DOS,"GNU General Public License, Version 3",8953615001c7809de6e524cfe72460ef2a7d7745e63fc94818b814538890dc0d
zdir,,ZDir,Visionneur de répertoire ZanySoft,"ZDir est un petit visionneur de répertoires DOS que j'ai commencé il y a des années quand j'étais au lycée. Comparé aux dizaines d'autres listeurs de répertoires de la journée, c'était le meilleur - ZDir déterminait automatiquement le nombre de colonnes à afficher, il pouvait afficher une arborescence complète, les couleurs étaient complètement configurables, cela fonctionnait dans n'importe quel mode texte, peu importe si ce n'était pas un mode standard et il était rapide comme l'éclair (écrit en langage assembleur). ZDir était disponible en tant que shareware et était très populaire, bien qu'il ne soit plus très utile car il ne prend pas en charge les noms de fichiers longs.","asm, assembleur, assembly, a86, dir",,DOS,"GNU General Public License, v3",1886bdc79de96a95ab19669a88ac2e3bc401a24e8a35c10edbdfa291ec787154
zerofill,,Zerofill,Remplit l'espace vide sur un lecteur avec des zéros.,"Remplit l'espace vide sur un lecteur avec des zéros. Il aide les logiciels de machine virtuelle et de compression de disque à compacter l'espace alloué dans le volume, et ainsi à réduire l'utilisation du disque.",dos,,DOS,GNU Lesser General Public License,f84321739a1eda704d77a00be07d07472760aae9c677b894c36ec211d6814bbb
zip,,zip,"Un outil d'archivage de fichiers, similaire à PKZIP.",,"freedos, zip, infozip, pkzip",,"dos, unix, mac","Open Source, see license.",821ef922417996251d29f7930034d314859540624a0c072f8953d41c1dc5eea8
zmiy,,zmiy,Un jeu de serpent (similaire à Nibbles) pour DOS et 8086,,"nibbles, serpent",,DOS,Simplified (2-Clause) BSD License,65b6a5921155eae12db342bc442ff2b9855ff9d3b905c14cb06e5d5fbfc6fa3f
zoo,,zoo,Manipuler les archives zoo.,,zoo,,,Public Domain,45244672487c1044a7a900c7e004df2a2ceb6d3c71b8404fef46198ec8e5b5f9
zsnes,,Zsnes,Un émulateur Super Nintendo.,,,,"DOS, GNU/Linux, Windows","GNU General Public License, Version 2",381be8475d85ef732fd01b6f85a25f2257866963276a1fc32de2ce3aea3c778a
