id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
m2wat,M2WAT,Utility to transfer the settings from MTCP.CFG to WATTCP.CFG.,,"mTCP, WATTCP, DHCP",,"DOS (Borland C 3.1, DJGPP 2.03)","GNU General Public License, Version 2 or later",93bb23f7b408e5a1481cecd43842590012c1fff574c3ddc74ffbb051642107e2
magnetic,Magnetic,An interpreter for Magnetic Scrolls adventures.,,,,"DOS, Amiga, MacOS X, Java, Maemo5, OpenPandora, Windows, GNU/Linux","GNU General Public License, Version 2",a01ff2339e27d500ad7a8a5035851d0279e015cd43f834acb2876f4e146a9691
marauder,Marauder,space shooter game,,,,DOS,Free w/sources,5f605852225b84209202eefa1e70de6fcf2626caf294a9859de0ea649f9f6e96
mbedit,mbedit - Multi platform editor,"mbedit is a full screen text editor with macro option, online calculator, command history buffer, hex editor and many other features.",,"editor,hex",,DOS,"GNU General Public License, Version 2",8359d596f09d32f7ab35684a491fee15ae2930b1a022023e566fcd5637ffb745
mbldr,Master Boot LoaDeR,alternative MBR boot loader that fits in a single sector,,MBR,,dos,Modified (2-Clause) BSD License,ec1f3ddf2bfc802a1f75bcc4f9f1a8f1e1c9578b4b38d502046b97326a7370f2
md5sum,MD5SUM,MD5 Checksummer,,"md5, md5sum, checksum, checksummer, cryptographic, sha, crc",,"DOS, OpenWatcom 1.3, Pacific C 7.51, Turbo C 2.01, Turbo C++ 1.01","GNU General Public License, Version 2",90ab7b5719011a5594d0dc9e34620eec81c13b2b4621900b47967f415f4b1ba7
meka,MEKA,MEKA is a Multi machine emulator.,,"meka, emulation, emulator",,DOS,"BSD-like license, see website",27e073918a216706f086eba0af7826147de933c43c632da68a2cdc34c9ef9c68
mem,MEM,Displays the amount of used and free memory in your system,,"Memory, mem, xms, ems, umb, hma",,FreeDOS,"GNU General Public License, Version 2",1b9f8ff0220677af2fb998d33c4f60b52b2b05f73dcd8de3000ae53ef7968f1c
memteste,MEMTESTE,MEMTESTE is a program for testing DRAM (main memory) of PC-compatible computers built on Intel 386 or higher processor.,,"RAM test, memtest",,DOS,Freeware,801c5d294d8bedca717a2f560521cc388366ad1cb3a0544b95e87954fb2690bd
mined,MinEd,"Text editor with extensive Unicode and CJK support. Convenient and efficient features for editing of plain text documents, programs, HTML etc. User-friendly interface, mouse control and menus.","Mined is a powerful text editor. Mined provides both extensive Unicode and CJK support offering many specific features and covering special cases that other editors are not aware of (like auto-detection features and automatic handling of terminal variations, or Han character information). It was the first editor that supported Unicode in a plain-text terminal (like xterm or rxvt).","edit, editor, unicode, codepage, encoding",,"DOS, Win32 (Cygwin), *nix","GNU General Public License, Version 3",de6adaa85c55beebe83748c1541253154bb50c6c856709f29464e595a4c230ff
mines,MiNES,MiNES is an editor for iNES ROMS.,,"iNES, editor",,DOS,"GNU General Public License, Version 3",8b0f957278b8bc9250eabd7c9b46afe4b5bf6e817c7106f12b88ec64d74ed594
minibox,Minibox,Small Linux commands for resource limited systems,,"linux, unix, beep, cat, cd, clear, cp, date, echo, help, ls mkdir, mv, pwd, rmdir, sh, time",,DOS,"GNU General Public License, Version 2 and 3",2d039bd3779c11fdd08dab61d35ea003eca9b394e3d50a9671119fabd1b78a02
mirmagic,Mirror Magic,An arcade style game like 'Deflektor' (C 64) or 'Mindbender' (Amiga),,,,"DOS, GNU/Linux, Windows","GNU General Public License, Version 2",6f8da695b9d6cd6b4d9e14698fd31e244eb72aff9cb8d58d59db9e4916c847ff
mirror,Mirror,Records information about the disk for possible data recovery.,,freedos,,dos,"GNU General Public License, Version 2",86e3db0cb03961f5ab1fc260afd03431611de77f30ae379dae39061a6724479d
mistral,The Mistral Report: Invisible Affairs,An espionage-themed turn-based retro RPG for your classic machine.,"The Mistral Report: Invisible Affairs is an espionage-themed turn-based retro RPG for your classic machine. Requires 386SX or better. Sound options include Adlib, PCSpeaker and OPL2LPT.","games, rpg",,DOS,"GNU General Public License, Version 3",413e6bbd6d97e8f80623983f0d8777788985acfe7d15f35b9c64acf513282111
mkeyb,MKEYB,"Very small Keyboarddriver, 500-700 Bytes resident",,freedos keyboard,,DOS,"GNU General Public License, with exceptions",5150fa4eef41c414f0364a707adf1f21ff9a77ac1b10efc64e8f748de3fc242b
mode,mode,Set the mode of your devices:,"Set the mode of your devices:|- send ESC/P control codes for 80/132 cols and 6/8 lpi to printer|- redirect printer to NUL or serial port|- set serial port parameters|- do codepage operations and display status of DISPLAY|- select 40/80/132x25/28/43/50/60 screen mode or select x8/14/16 font, availability depending on your|hardware. Shift CGA display sideways.|- control and check switchar and keyboard (num/...) lock states|- control keyboard repeat rate and delay","freedos, mode, display",,DOS,"GNU General Public License, Version 2",299a718c7710f8e1a1d0350f6ed27c8215ae7e2da5841abf651c00a19d2c613c
more,more,Displays the contents of a text file one page at a time,,"freedos, more",,DOS *requires KITTEN,"GNU General Public License, Version 2",1f502161fb9fe1f61690119c076b146402f8a02d295686661f5e34e2fc3ea8ba
move,Move,Moves files from here to there,,"freedos, move",,DOS,"GNU General Public License, Version 2",87208c4fed365e6df0c43076ce919f312c52f322147ce1b2ca9f2f67a9cc5a7e
mplayer,MPlayer,MPlayer is a movie player ported from Linux.,,"multimedia,video,player",,DOS,"GNU General Public License, Version 2",b4efb528bbb40725815d0b79639efdd383887f505a02672d4bcf596488cba1c3
mpxplay,Mpxplay,"Plays audio w/ its own built-in modern soundcard drivers: AAC, AC3, APE, FLAC, MP2/MP3, MPC, OGG (VORBIS), WMA, WAV, WV, CDW. (DOS/32a version)",,"mp3, ogg, vorbis, wav, music, speaker, sound, blaster",,"DOS 5+ (OpenWatcom 1.9), Win32 (console)",Source code available (open),0959222f39ec42f76b4e9707cf456ea1675a67be6be09d598e725164af7cab65
msa,MSA,x86 assembler for DOS,"MSA is an x86 assembler that supports all 8086 instructions and most of the 80186/80286 instructions. MSA outputs flat binary output (.COM) files. Robert Ostling has released his MSA assembler as open source software, under the MIT license. Robert wrote MSA in C, using Borland C++ 2.0, but thinks it will not be hard to port to other compilers.","assembler, asm, msa",,DOS,MIT license,cd0bf52e7f2a5fd44e6fb6a12ed1e91b26dc4f7f28d267e7049e7bc5c084c6b4
msedit,MSEDIT,Mateusz' Saucy Editor,,text editor,,DOS,"GNU General Public License, Version 2",9c5c4b3ff1104cd8701c944ef8f1817dce310b4abd019c5911746103b7111ed9
mskermit,MSKERMIT,communications suite from University of Columbia.,"MS-DOS Kermit communications software package for IBM PCs and compatibles offering a range of terminal emulations, serial and network communication methods, international character conversions, script programming language and Kermit file transfer.","serial,comm,terminal,filetransfer",,DOS,Revised 3-Clause BSD License,314dc8257f0347f2ad20bcd4a881da074641b9a9154f38ee5529ba4878d4616d
mtcp,mTCP (upx),"a UPX'd collection of TCP/IP tools for 16 bit DOS: DHCP, IRC, FTP, Telnet, Netcat, HTGet, Ping, SNTP",,dos tcp/ip realmode dhcp ftp telnet htget irc ircjr netcat sntp ping opensource 16 bit,,DOS,"GNU General Public License, Version 3",35503d7d2131f4f6c678ac984f2445981a062945b1c3ceaa8f4d681cab8401c6
nansi,Nansi,An ANSI driver for DOS,,"freedos, nansi, ansi",,dos,"GNU General Public License, Version 2",e5f2403d5b016262615feaa9c9f735df37eefd25207869eee3983818f3b4e49f
nasm,Nasm,The Netwide Assembler (UPX Compressed Version),"The Netwide Assembler, NASM, is an 80x86 and x86-64 assembler designed for portability and modularity. It supports a range of object file formats, including Linux and *BSD a.out, ELF, COFF, Mach-O, 16-bit and 32-bit OBJ (OMF) format, Win32 and Win64. It will also output plain binary files, Intel hex and Motorola S-Record formats. Its syntax is designed to be simple and easy to understand, similar to the syntax in the Intel Software Developer Manual with minimal complexity. It supports all currently known x86 architectural extensions, and has strong support for macros.","nasm, asm, assembler, assembly",,DOS,Simplified (2-Clause) BSD License,22c11ee283a38302b273f7f03c1de3becc2849db0906df48ddd1637b42103e6d
nethack,NetHack,A single player dungeon exploration game.,,,,"DOS, Windows, GNU/Linux, OS/2, Mac, Amiga, Atari",NetHack General Public License,653fe2b1db71731709844fb3f9e48d98777c2326b8d5c01cf8791646745db804
newsnuz,NewSNUZ,usenet (NNTP) reader based on WatTCP,,"nntp,usenet",,DOS,Public Domain,41b79dbe9dedc793c1ff0733089f345a32de998467408607be568b484682daaf
nge_nibb,NGE Nibbles,"A clone of Nibbles, an old arcade game.",,nibbles,,"DOS, FreeDOS","GNU General Public License, Version 2",8e82e1efc54c558b653d95f27d2179735393e9c4769b5883c52ee72c661905d0
nlsfunc,NLSFunc,NLSFUNC adds NLS (National Language Support) functionality,,"freedos, nls, country, display, mode",,DOS (nasm),"GNU General Public License, Version 2",0ade0f33d52aa87fe43828ba18e9d6797619184cc4dc0902830a8dae08bcadb3
nosefart,Nosefart,NSF player (NES music player),,,,DOS,"GNU General Public License, Version 2",1d84c1240473a3679f4a45cc6ef7a412f60699ac51cc31ac5492b7ad6d213e37
noudar,Dungeons of Noudar 3D,"A first person dungeon-crawler, using software rendering and fixed point math","A first person 2.5D dungeon-crawler for Protected-Mode, written in C++14(ish) as a love letter to 90s RPGs. Sound options include Adlib, PCSpeaker and OPL2LPT.","games, rpg",,DOS,Modified BSD (2-Clause) License,5b65ec0ad053c5bf121ecbb81f189dfadad4e5d94a4311fef9eb228084c510b2
nro,nro,A text processor similar to nroff on UNIX,,"nroff, roff, nro, micro-c",,"FreeDOS, DOS (Micro-C)",Public Domain,019fecfb148ce7632a7e790c923a41008f67c5ace53f91923160b209d740c998
ntfs,NTFS,Enables access to ntfs partitions,,"ntfs, partition, file, access",,DOS,"GNU General Public License, Version 2",a9fc707956c8936b4e4008c818f88cae6fd95f2f3cfe5712cb467e9e9304d874
ntool,NTOOL,"NTOOL is just another incarnation of the famous program NETCAT, based on the WatTCP stack.",,"ntool,netcat",,DOS,EUPL v1.1,4b1506120a8356fc9814ce496c1bc469f942ebf13e26e114c3fd10eca80b95cb
opencp,OpenCubic Player,"OpenCubic Player is a multi-format (mp3,wav,mid...) music player",,player,,DOS,"GNU General Public License, Version 2",05b22cadb5438547260a0255eb0e566c8fa7f34a4434a1afd404c3dda6be701c
opengem,OpenGEM desktop,OpenGEM is a non-multitasking 16-bit graphical user interface (GUI) for DOS. It is an extended distribution of FreeGEM that includes features of the original Digital Research GEM.,,"atari, gem, opengem, desktop",,DOS,"GNU General Public License, Version 2",a6e286a7cf8e180cffb6ec4b245422754ba4eaf5cb6ea1b6bb74a1a34e58fe79
orangec,Orange C,The Orange Toolchain is designed for DOS/WIN32. It uses win32 binaries along with Japheth's WIN32 emulator for DOS to get the MSDOS functionality.,"The Orange C/C++ Compiler is new work which includes an optimizing compiler, a tool chain, and an IDE. The compiler itself uses various standard techniques, as well as some interesting techniques mentioned in literature. This compiler has support for the various C standards through C11, and full support for C++ 14. The IDE for the compiler is a full featured C/C++ language IDE including a colorizing editor with code completion, integrated make facility, debugger, and a WIN32 resource editor. The tool chain is highly generic and the possibility exists to customize it for embedded platforms (or for that matter for example for other operating systems) using various linker customization files along with backend code generation programs. The existing backend code generation programs support WIN32 and MSDOS executable formats, along with a backend generator that will output Intel and Motorola hex files. The assembler uses a simple architecture description language to customize the code generation. The C Run time library this compiler uses is an enhancement of the RTL used by CC386. The Run time library in this package has WIN32 headers and an import library, many windows programs will compile with it although there are a few incompatibilities.","develop, c",,DOS,"GNU General Public License, Version 3",5cc51a34e3d9665803fbd2bed3494d4b1bc780bfcf2fcfee0aa029a02d8c3e30
ospedit,OSPlus Text Editor,a friendly text editor for DOS,OSPlus Text Editor: A friendly text editor for DOS. Includes Real mode and Protected mode (DJGPP) versions.,"text, editor, dos, rtf, txt, wri",,"DOS (Borland C++ 4.51, DJGPP), FreeDOS","GNU General Public License, Version 2",21c193e4356b09894321fa67fe60b484e72ff03ee385af74dc4c7299f080cd4b
ospimg,OSPlus Disk Imager,utility to read and write floppy disk images,"The OSPlus Disk Imager is a utility that lets you read floppy disks and create images of them on your hard disk. These can then be written to a CD, zipped and e-mailed or uploaded to the Internet. The Disk Imager also lets you write these images back to a floppy disk. Be warned that any existing data on the floppy will be DESTROYED when writing an image.","disk, image",,"DOS, FreeDOS","GNU General Public License, Version 2",f1f2f538762b5bcdaf3eedbbeb027d281e686e1f77a596ca97943d098d055edf
ow,Open Watcom C Compiler,Open Watcom C/C++ compiler,,"watcom, c, compiler",,DOS,"Sybase Open Watcom Public License, Version 1.0",b8ce97f9b5b1f0512f0c97b46ad0a41539a56fc3478b7f1d0eba46b01de34712
ozonegui,oZone GUI,oZone Desktop environment,,"freedos, ozone, gui",,DOS,GNU GPLv2 and LGPLv2.1,1fda7507910acc074b2e6bcde7b81d6ab7b569fb85b30bd816c22beab9cc54e6
p7zip,7-ZIP,p7zip is a quick port of 7za.exe (command line version of 7zip). 7-Zip is a file archiver with highest compression ratio.,,"7zip, p7zip, compression, zip, unzip, arj",,DOS,"GNU Lesser General Public License, Version 2.1",9345edaa447eaf68afe39998a64c70e08292d1f9c6461c57fbf7f02cfb304c6d
pacificc,pacific-c,Freeware version of the Pacific C compiler.,,"freedos, compiler, c",,dos,free (source not available),2182f1cb1d054a55cf240627d34401505d86e602644e96bec0c6cdb113003e44
paint2,powerpaint,"A nice graphic paint program. made in 1998. It supports paint1 file type and two other types. Graphics: mode 13h, requires mouse.",,"paint, graphics",,DOS (Pascal),"GNU General Public License, Version 2",9157b038387957189bfc2d3ad3762c094305534d97f549589dd57fa5cb1ec648
pakupaku,Paku Paku,A pacman clone using text mode only.,,,,,Public Domain,336b30717c047457d0c67e94169a453157c05a3acbe5ad19116358b644bce8f7
part,Ranish Partition Manager,Partition Manager can: Save and restore MBR; Create and delete partitions; View hard disks' IDE information; Format and resize FAT-16 and FAT-32 file systems; Comes with Advanced Boot Managers.,,"disk, partition, manager, ranish, fdisk, format",,"DOS, FreeDOS",Public Domain,e91a625db1d95f20d39402b1553ada36811969ab47cdcc05195a3d79b7e2430f
password,FreeDOS Password,Password program -- Protects your computer from stranger's access,,"freedos, password, login, user",,"DOS, FreeDOS","GNU General Public License, Version 2.1",7c9cec665662231e49a48d3b4409eaa96e34589fb020e5230336508f1381f499
pausesys,Pause (Config.sys),device driver to pause 'config.sys' processing,,"dos, boot, config, fdconfig, system, driver",,DOS,'Modified' BSD License,6df7b787d5f609021166d06493f44e68defe0b056398e0399881bc41d3f7c6ec
pbox,PasswordBox,A console-mode passwords manager using AES-encrypted storage,,"password,manager",,DOS,"GNU General Public License, Version 3",feca1a539484f9dffb83910eef2ad69a3032de0416b83b4e3e8efd795b9d9c58
pcisleep,PCISLEEP,PCISLEEP lists and sleeps pci cards.,,"PCISleep, pci, card, vga, sleep, list",,DOS,"GNU General Public License, Version 2",85e51f2164ebc7d4ccb322c513f4a9d1ba422419b65b3fae2a1875cb90ff1a77
pdtree,pdTree,"Graphically displays the folder structure of a drive or path. Supports long file names if LFN api present, support for message catalogs (different languages) using cats, and supports both Windows NT/9x and DOS.",,"tree, FreeDOS, DOS, Win32",,"DOS (TC30, BC31), Win32 (VC5, BCC55)",Public Domain (optional use of LGPL catgets by Jim Hall),da84f0324503a3bef100e536343461a0c0ad9e3f5050f0722759c6f6c819b3d7
perl,Perl,"perl is a language combining some features of C, sed, awk and shell",,perl,,DOS,GNU General Public License,5861f1046e80cec2753e6eb09569aa54184e96a665b2ebceaa38c6490b2239e3
pg,PG (PaGer),Displays the contents of a text file one page at a time,,"page, pg, text, show text",,"DOS + Turbo C + Nasm, FreeDOS","GNU General Public License, Version 2",472111ce94259611b26a6e3dec3fe17fc07b798602617a0a236c3afd5f1ce4c6
pgme,Program Manager Eternity,A fully customizable multi-menu application launcher for DOS. It also includes Font Designer and several other utilities. (Requires Mouse),,dos launch pgm pgme efntdsgn menu kiosk 16 bit,,DOS,"GNU General Public License, Version 2",d0cdc6d707c5010fa3800da7d0ebc5949609fc46c48f8d505f18e876882f713f
pico,Pico,simple text editor in the style of the Pine Composer,,editor,,DOS,GNU General Public License,901df24aa8957f7109b6cd757826b9aa84ab506c7b5ba6fc783e27fc44779c07
picosntp,picoSNTP,"SNTP client for DOS, based on picoTCP",,"NTP, SNTP",,DOS,"GNU General Public License, Version 2",b87c0eb93e2da3d69d730f4deca7116e3012f708debbf15390ac8ba84ee86451
picotcp,picoTCP,picoTCP networking stack (library and configuration tools),,,,DOS,"GNU General Public License, Version 2",a306d70c76eca7f9364bb7ee4f8910fc98cc1d05f01bbeb5c97beadb93b398f2
ping,ping,The ping internet diagnostic tool. This version is extracted from the Watt-32 v2.2 suite.,,ping,,FreeDOS,GNU General Public License,68df6f0ecd5d6894a06e155730cff4a395034534692485a52795ac1300d20f0a
pmodew,PMODE/W,PMODE/W is a DOS extender for use with the Watcom C/C++ compiler. It is designed to be a fairly functional drop-in replacement for DOS4GW.EXE.,,"extender, DPMI, DJGPP, DOS/4G",,"DOS, FreeDOS",Free w/Sources (No Derivative Works),83d4dea2288bcd865d94fed98bab6903684e52df05d01b19eb704aae8bb6f8c0
pngcrush,pngcrush,PNG compression/optimization tool,,png compression,,DOS,zlib/libpng License,853edd05ac684b21b65c57fb1368f47cd788120b7b1e0fde148a16d303c1266c
print,PRINT,Print files in the background while you do other things.,,"print, spool, lpr",,"DOS, FreeDOS","GNU General Public License, Version 2",d6de25a3e7c5816fe0aeb7250d2c2022e5d3b88bde24659794999a8243705d7b
printq,PrintQ,An external print queue manager for FreeDOS PRINT.,,,,,,bf90921c667bea86aa82d669a6592c4963291595a49f71820ae5a59657c15442
psrinvad,INVADERS,Space Invaders game clone,,"Space Invaders, Arcade, Games",,"DOS, TASM/MASM/A86/LAZY/JWASM/WASM/TINY/NASM/FASM/WOLF/TMA/OCT",Open Source,6198a2c8043c158c82b39b2dfd463eb49e75c12896f4a4e205d7b7feeff91601
qtetris,TETRIS Queen,"A clone of the TETRIS game, and a tribute to the Queen band at the same time.",,tetris,,DOS,"GNU General Public License, Version 2",a75656a051034a3b9f722b18e87ea9f9c47f2cfd94c452e9af7e3234038cd65b
quadnet,Quadnet,Fastpaced cosmic-like shooter,,,,DOS,Freeware,bf596e34beec369888cfbe7f7b97f26c709f0718dd2195dec71b103066a9e269
raread,raread,Reads the image for a floppy disk (that can be written using RAWRITE). Useful for creating disk images.,,"raw, read, floppy, image",,"DOS, FreeDOS","GNU General Public License, Version 2",621a7675cc5efa18265bf3edd63d34653cb0bd075fc2cb7f8182d472d6ff6fa6
rawrite,rawrite,Write disk file to raw floppy diskette,,"floppy, write, rawrite",,"DOS, FreeDOS",Source code available (open),0fb993dbc6f56f39fa219c7a2536034b5a8146f3ba4592c31a0eb690b1af43b2
rcal,rcal,a big-numbers calculator with floating point that mimics the 'paper rolling' calculators. 8086+,,"calc, calculator",,dos,MIT License,385c5c93ed37fe1fbb876b01c97ac42cc28db3e3ff9573b2ba3fce8b162a4205
rdisk,RDISK,RDISK is a driver which creates a RAM-disk from up to 2 GB of XMS memory.,,"disk, driver, memory, ramdisk, rdisk, xms",,DOS,Free w/sources,dfbfa32dbcebfe3355a3027a547c68ae32b8f27b234b5526dc4c8b4ebbc11f4d
recover,RECOVER,Recover disks or lost files.,,"recover, disks, files",,"DOS, FreeDOS","GNU General Public License, Version 2",ee185c0367d31bb980844f4e16b49d3d85e6089070ea9d0d16d6817def4769f5
regina,Regina REXX,Port of Regina Rexx interpreter with SAA Rexx API support.,,"Regina,REXX",,DOS,"GNU Library General Public License, Version 2",78488b87a14d68cf3e301cde5ae227aa30365b883e38855bf162f8649d26b7e0
replace,REPLACE,Replaces files in the destination directory with files from the source directory that have the same name.,,"copy, replace",,"DOS, FreeDOS","GNU General Public License, Version 2",2b51b33d77add38278cc2242625384dff4dc59e231cffd1f43b89adc6a2b15da
ripcord,RIPCORD,Gives version information about each program in this distribution,,freedos dos ripcord version program number,,"DOS, FreeDOS",Public Domain,8441c025251ca72b8079b69559fa4ed545bc9014be3e2f8c85282e75ce3f780f
romdsk,ROMDSK,"ROM disk toolkit to allow DOS kernel boot off ROM (EPROM, Flash)",,ROM disk EPROM flash EEPROM DOS FreeDOS kernel boot INT19H,,"DOS (TASMB), FreeDOS","GNU General Public License, Version 2",49c81df4067e5fbceb75b4a43e0f0de385ce12dd98f37dbcbf45e5820a39d561
romos,ROMOS,ROMOS can boot FreeDOS from external ROM or system BIOS without disks,,"ROM,BIOS,Flash,ISA ROM module,DOS,NASM,AWARD,HOTFLASH,CPUID,microcode",,OS independent x86 code (use NASM compiler),"GNU General Public License, Version 2",8f8b88e25975dfc8edba9435167bc418c2047e3da3974b754d8328cbd5300321
row4,Four in a row,vertical board game,,,,"GNU/Linux, DOS (bcc), Windows, Web (CGI)","GNU Affero General Public License, version 3 or later",4355f335cbe07ba345931c3926b2ef8b2406f6f57c238e1961bbafc426686610
rsync,rsync,"rsync is a utility software that synchronizes files and directories from one location to another while minimizing data transfer by using delta encoding when appropriate. This rsync port is necessarily a sub-set of the full rsync, partly because of memory limitations and partly because of the peculiarities of DOS. The main differences are: Client only ; No support for rsh or ssh ; File names on the server must be in DOS format ; File data is not compressed.",,rsync,,DOS,"GNU General Public License, Version 2",791e132135ddd0eff6e50333ed86c93e02ea8d579a77c38cd290b24e381b237e
runtime,runtime,"Times the execution of a program, and tells you its run time",,"dos, run, time, timer",,dos (Borland C) **requires Cats (GNU LGPL),GNU General Public License,5222f6c45308cbead032c2140e97d0f8a60971c8a17fb8ceae208cd32d5c5e8e
samcfg,SAMCFG,Set of sample files for creating C:CONFIG.SYS and C:AUTOEXEC.BAT,,"freedos, sample, configuration, config.sys, autoexec.bat, batch, script",,"DOS, FreeDOS",Public domain,90d8b92078bb5279786acbf7ae8fe4a7ed58284ea341cd4c1ff91166d7bc9cbe
sbmix,SBMix,display and change SoundBlaster Pro (and compatibles) mixer settings,"SBMIX is a tiny program to display and change SoundBlaster Pro (and compatibles) mixer settings, i.e., Master, Wave, FM, CD, Line and Mic volumes, directly from DOS command line. It may be required with some cards to hear anything under plain DOS, as some cards are initialized with zero volume.","dos, sound blaster, audio, volume",,DOS,'Modified' BSD License,9ed8ef8c98667244e1ac9bb88cefa8c59bc4661937f6e192671ac247f515a2ee
seal,SEAL,"SEAL is a 32-bit graphical user interface (GUI) for DOS. It supports many advanced features, such as a dynamic linking system (XDL), sound and other multimedia functions (SFA), multilingual support, and more!",,SEAL2 GUI FreeDOS DOS,,,"GNU General Public License, Version 2",9502e51b59814a44fb199548dcd3b6f7eb761605d0c7622c6101ea021bd7f7bd
search,Search,Locates files on your computer,,"freedos, search",,DOS,"GNU General Public License, Version 2",6cf5ff6e92a9db3e51284b76b3a0a09bc03e1a1db42b36df8d7ea781558e2b7c
senet,Senet,"a very old game, dating back to ancient Egypt","Senet is a very old game, dating back to ancient Egypt. Because it is so old, and no one in ancient Egypt preserved the rules for later generations, the exact rules are somewhat of a mystery. Historians have tried to figure out the rules of Senet, but they disagree in the details.",Games,,DOS,"GNU General Public License, Version 2",588aed8e23387ac2b40e63e2801125fea9525ac9dfdaba31802ed04de3d41df6
setedit,setedit,"A programmer's editor for DJGPP, similar to BC++ IDE and RHIDE",setedit is a friendly console text editor with the look and feel of the Borland editors for DOS. This man page only describes the command line options of the editor. You can get full help about the editor using the help of the editor. Any number of file names can be specified after the options and they will be automatically loaded by the editor in the same order you listed them. You can pass extra command line options using the SET_CMD-LINE environment variable. Read the documentation for more information about this feature. (Note: setedit will not run under DOSBox),"editor, unicode, DJGPP",,DOS,"GNU General Public License, Version 2",5a5151d8918442fce8917848bb249b53b70481a2147ee27dd0c905c0a78118d5
setlock,SetLock,"Set the caps, num, and scroll lock keys from software",,"lock, caps, num, scroll, set",,"DOS, FreeDOS","GNU General Public License, Version 2",925ee23faac8c15f82652f9d91e7fee090fa6791a4b84017361b66791111d909
share,SHARE,Installs file sharing and locking capabilities on your hard disk - for FreeDOS kernel only,,"share,file sharing",,FreeDOS only,GNU General Public License,7a6abdff994339f2054f4d9a8304f2366187f77ad57e4be799ecbd2392914542
shareext,shext,Share Extender,,share extension,,"DOS, FreeDOS","GNU General Public License, Version 2",a7ed019ed36c5d0bd4fc9fc3362d4431a70ccdebc512c8a5f3ee9b205fff45c4
shsucd,SHSUCD Suite,The SHSUCD suite is a set of programs dealing with the CD-ROM. (Excluding SHSUCDX),The SHSUCD suite is a set of programs dealing with the CD-ROM. They allow access to the CD-ROM as a normal drive letter; create an image file from the contents of a CD-ROM; access an image file as a drive; and test certain CD-ROM functions. SHSUCDX binaries are excluded from this package as to not conflict with the SHSUCDX package.,"mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom, shsucdx, shsucdhd, shsucdrd, shsudvhd, shsucdri, omi, isobar, cdtest, smarter",,"DOS (NASM), FreeDOS","Open Source (copyright reserved, free use program)",4df00f8ce6f643dd19a8c9177a147eb397d0d2629c42d881ed89dd63a9b8d9ab
shsucdx,SHSUCDX,Free CDROM extender for DOS,,"mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom",,"DOS (NASM), FreeDOS","Open Source (copyright reserved, free use program)",08013c993eb11726c8c65356b94d430d61f3ea5d900802d31106d0391e3a66b7
shsufdrv,SHSUFDRV,SHSUFDRV is a driver for floppy and hard disk images. SHSURDRV copies the image to RAM and/or creates RAM drives.,,"driver, floppy, images, hard disk, ram drive",,"DOS, FreeDOS",Freeware / source code available,97235526c8b40f633d93dfc09b2c1a0a3364dc2427d7da0fb11fed1e0a3d2205
simcoupe,SimCoupe,A SAM Coupe Emulator.,,,,"DOS, Windows, MacOS X, GNU/Linux, Windows Mobile, BeOS, QNX, OS/2, AmigaOS, PlayStation Portable, GP2X","GNU General Public License, Version 2",743737b0368994b019605567dada3ef25a45facd871e50aef68734a3e3ebb11e
sleep,sleep,sleep is similar to the UNIX utility of the same name. sleep can be used to suspend execution of batch files for a time. sleep gives up time-slices to operating systems that support it. sleep also recognizes and honours the DOS switchar.,,"extension, utility, sleep",,"DOS, FreeDOS","GNU General Public License, Version 2",e34d7aafbc903e61bc36dc43a0f051b318ac7d1440fd33df464e58bdf033cb13
slicer,File Slicer,A simple archive and file slicing/spanning utility for DOS. (UPX Compressed),A simple archive utility (not a file compression program) to categorize and split large files and directories across smaller medium. It requires an 8086 with EGA or better graphics. (UPX Compressed),dos 16 bit file archive span split slice,,DOS,Simplified (2-Clause) BSD License,4485f4a7716065be8588d46ebf6dfbce0977769e24e44f8b5b6dd75a476444bd
slowdown,SLOWDOWN,"Slow down a fast computer. Speed is completely configurable from command line, or by using Hot-Keys. Has several different 'methods' or 'modes' to slow the computer with.",,DOS,,DOS,"Freeware, see documentation",4a37135cd9a99f042b4d4be5862387b7e0720fc5d1c5ebd9b7663fbd97fe0e96
sneese,SNEeSe,SNEeSe is a Super NintEndo Entertainment System Emulator.,,,,"DOS, Windows, GNU/Linux, Unix, BeOS",Clarified Artistic License,5be1443d1f82123956a65a17a49e7f193cc18331ec7cdc7d4ac711fbffc462ae
snova,Supernova,Text based adventure game set in the future.,,,,DOS,"GNU General Public License, Version 2",1b0436c7aa8cb32d82649a9d4eb55ea276c5c2a57429625163792eaa272ee247
sort,sort,"Sort the contents of a text file, optionally using the NLS collate table",,"sort, text, file",,"DOS (e.g. Borland Turbo C), includes own KITTEN library version, FreeDOS","GNU General Public License, Version 2",a0224b85ecaca5f5e68805e0391e3c03a47417c17a72f0abc936674c9335f718
spool,Spool,Spools file printing in the background. This does not require the use of a PRINT command.,,"print, spool, spooler",,"DOS, FreeDOS",Public Domain,7dd8a8d3393e55a62e468b87f70f952c7e5e204d49bdc4f7d73e3f6093119f74
sqlite,SQLite,An Embeddable SQL Database Engine,,"sql, sqlite",,DOS,Public Domain,137e700b14f3554272f7d87e99691c0d6b86d02c86b27c7363b50af7cf27ed3c
