id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
cpp2ccmt,cpp2ccmt,A C++ to C comment converter.,,comments,,DOS,"GNU Lesser General Public License, Version 2.1",9a96ba89ff873c55174555650978d0bfd7d372e5385523145f52f9b596c282bc
crc32,CRC32,calculates the standard 32-bit CRC checksum of files,,crc32,,dos,Public Domain,573188666dd4f5d7a686ba8f964993f7f81c80ed2a70792815d5960c4fb803d7
crynwr,Crynwr,A collection of free packet drivers from the Crynwr company,,packet,,DOS,Open source,bdb821a5786dee954f239f350860eef4859c781130683321256d0b7b5c616383
csphinx,Sphinx C--,Sphinx C-- is a compiler half-way between C and ASM,,,,DOS,Greenware,8fba74099d6150a36451883c7f5fc79f43a34d1836a58d3275d74e627840125d
ctmouse,CTMouse,The FreeDOS mouse driver,,"Mouse, mice, wheel",,FreeDOS,"GNU General Public License, Version 2",e2fd95cd7f618dabb0eb9b55a74c9c388b16df28b45dad88d659217eb2037594
curl,cURL,Curl is a command line tool for transfering data specified with URL syntax.,,"freedos, curl",,FreeDOS,Open source,f314c0839562f3eeeb695d719e05cbaa2ea6a1a87c1a0f84d926a7e23a8dee0d
curltiny,cURL (Tiny),Curl is a command line tool for transfering data specified with URL syntax.,,"freedos, curl",,FreeDOS,Open source,cc6f1394b8fa7a092eafc6c38558703160d04d99eb23792e47b408fc5a851163
cwsdpmi,CWSDPMI,32-bit DPMI DOS extender designed for DJGPP.,,"extender, DPMI, DJGPP",,"DOS, FreeDOS","GNU General Public License, Version 2",82fe31e6757f72930e53c2ee6535670e24a8aa80742319c625f67229d38e9878
cyberdog,Cyberdogs,walk around nuking bad guys,,,,dos,Public Domain,b82faf4be86ea46beebe9c32f85d64eef1ad181ac6609cc080b59ebc585eac1f
daa2iso,DAA2ISO,A tool for converting single and multipart DAA and GBI images to the original ISO format.,,"daa2iso,poweriso",,DOS,"GNU General Public License, Version 2",f153e6173fd60e8b793830362effbcd9f83cfad90e365d5c7621eda1c2713e2d
debug,DEBUG,A program testing and editing tool,,"32bit debugger, debug, debugger, DPMI debugger, kernel debugger",,"DOS (assemble with NASM), FreeDOS",MIT License,225208aca1faa54846afe513c191357c3760ea7cc0b8d5b1b9bef96c77aeff4c
defrag,Defrag,Defragmentation utility.,,defragmenter,,FreeDOS,"GNU General Public License, version 2",46eb7d50e7eb5d982bc174c16a67c2370174ef1c8d6db8e8c60052c3db914b98
deltree,DELTREE,Delete files and directories with all included files and subdirectories!,,"freedos, delete, tree",,"DOS, FreeDOS","GNU General Public License, Version 2",604e161d120446a796e1ed83ebe3efbbaf5e2c18539b386fcd5ce13a3fdf59b9
demosapa,Assistance Demo,A simple package to demonstrate using a custom assistance program.,A simple package to demonstrate using a custom assistance program that can be automatically incorporated by the FreeDOS build environment when creating custom install media. The package will autostart on USB and CD-ROM media. It will also be installed and used in both BASIC and FULL installation types.,freedos,,DOS,Public Domain,3fed2d43061859369924cf347f43e265f6dbb1c4fadb3a5f4d7f8abe2fc266d7
devload,devload,"Commandline device driver loading program, supports UMBs",,"commandline, device, driver, load, ctload, devload",,"DOS, NASM, FreeDOS","GNU General Public License, Version 2",f49db9eceab3494f57ddc3ce30da49d2869810459125f62bb905086d1ef818fa
dialog,Dialog,Display dialog boxes in shell scripts,,"dialog, curses",,"DOS, Unix, Windows, Curses, GTK","GNU Lesser General Pubic License, Version 2.1",06c4a58e1977014966ea096caf5b5f0d4149d6b9567678f6a3b8aee16a18152f
dillo,Dillo,A graphical web browser known for its speed and small footprint.,,"dillo, web, www, browser",-,DOS,"GNU General Public License, Version 3",2628ebce3599041976a22d10f74317dd04b63002905078ee0b50866dab78ed32
diskcomp,DISKCOMP,Disk comparing utility,,"diskcomp, compare, disks",,"DOS, FreeDOS","GNU General Public License, Version 2",0c894ec1b30b5ab4bb5e7ccde6179790380b56ce78c9a7b47a6259299091519f
diskcopy,DiskCopy,Copy one disk or image file to an other,,"Freedos, disk, diskcopy, copy",,"DOS, FreeDOS","GNU General Public License, Version 2",2144ce0024cc273eecbe2a9855d1005d949beb7b1a5af033f85e8eff85ecc098
display,DISPLAY,FreeDOS driver for codepage management (screen or printer),,"display, ega, vga, nls, cpi, cpx",,"DOS, FreeDOS","GNU General Public License, Version 2",f2a0b1d909361511b47ab5f0b13f4be8dec8277cc262d218690f3b2584c40c80
djgpp,DJGPP,DJGPP environnement,,"gcc, compiler, c, djgpp",,DOS,"GNU General Public License, Version 2",d46da4bdfd608d69e757b932d5c13bc3f099b4da7217b0607fc287a705f2ef6c
djgpp_bn,DJGPP binutils,"DJGPP binutils: linker, assembler, etc...",,"gcc, make, compiler, c, djgpp",,DOS,GNU General Public License,7051174e5e097b09bf309ea51009298f6977b9a719d1b9f903d1e2b192d37b44
djgpp_bs,DJGPP Bison,DJGPP Bison (a parser generator that is compatible with YACC),,"bison, djgpp",,DOS,GNU General Public License,3c3956e74c446eb8ee13ac4f235b1ae1343f576a6308f3462447a6e5f33470f5
djgpp_db,DJGPP GDB,DJGPP Debugger (GDB),,"gcc, gdb, djgpp",,DOS,GNU General Public License,543ff1fa30a6e25331bc5c6d7cc6a9c024ded9e5679ca07bc4214c205acd6590
djgpp_fq,DJGPP FAQ,DJGPP FAQ documentation,,"gcc, faq, make, compiler, c, djgpp",,DOS,GNU General Public License,0856bab4d04981947f65beb8cb986909f89bec7ae40595ef33633b572f0da3aa
djgpp_fx,DJGPP Flex,DJGPP Flex (fast lexical analyzer generator),,"flex, djgpp",,DOS,GNU General Public License,ff7b94a1e6705794bbded70e97e5404fbaf587bab3512147362ca8ba8ba12cf0
djgpp_gc,DJGPP GCC,DJGPP GCC (C compiler),,"gcc, compiler, c, djgpp",,DOS,GNU General Public License,09030ffe9e1c1ea39b5fe5709727fdb8bc5ef5906c6832b134411b55ec4bfa29
djgpp_gp,DJGPP GPP,DJGPP GPP (C++ compiler),,"compiler, cpp, gpp, djgpp",,DOS,GNU General Public License,94176dbd4dff584bc4604c1d83540b35165aac77c961e39886066b098c1a25ef
djgpp_mk,DJGPP make,DJGPP make,,"gcc, make, compiler, c, djgpp",,DOS,GNU General Public License,ee7ef0d36fda95d2f2f5a61ae9a07e1d374a6dfc980393ccfe3a0a135d5072e7
djgpp_ob,DJGPP Objective-C compiler,DJGPP Objective-C compiler,,"gcc, objective-c, compiler, djgpp",,DOS,GNU General Public License,a2ddc4bf7251e34cd48d66c1ab95f20f8c00a53b9fac29f21c6f2ce757a32552
djgpp_rh,DJGPP RHIDE,DJGPP RHIDE editor,,"rhide, djgpp",,DOS,GNU General Public License,3b5fdb7bb7f5a9becf9edfb897bbd9c9defceefc02e1d28a932f2c720404f658
djgpp_tx,DJGPP Texinfo,DJGPP Texinfo (info file viewer),,"texinfo, djgpp",,DOS,GNU General Public License,da6ca548e615a07e3c8d2571cf479c35271bcf62f5720bc48ac8626945da8edc
dn2,DOS Navigator 2,DOS Navigator 2 OpenSource is a file manager based on DOS Navigator (c) 1991-99 by RIT Research Labs.,,"dos navigator, norton commander",,DOS,"OpenSource, similar to BSD License",2df7db6994db9feac4eb8a537c0432793b3b72e50ed58e61af11e9d364609ec9
dog,DOG,"an alternative command.com shell, similar to FreeCOM, but different.",,"command, shell",,"DOS (Turbo C++ 1.01, ASM), FreeDOS","GNU General Public License, Version 2",ee35d454f021b790a4f7005922259ceb9b8e6d5483629d4422b2900014e6ed71
dojs,DOjS,A DOS JavaScript Canvas with sound,"DOjS is a JavaScript-able canvas with WAV and MIDI sound support. DOjS runs in Dosbox and on real hardware or a virtual machine with MS-DOS, FreeDOS or any DOS based Windows like Windows 95/98/ME. If you run it on real hardware you need at least a 80386 with 4MB. I recommend a Pentium class machine (>= 100MHz) with at least 32MB RAM.","java, JavaScript",,DOS,"Various Licenses, See LICENSE file",55f9a221b922e60047bd336142c191f89451def8cc6a6577100424f325b80135
dos32a,DOS/32A,DOS/32A is a DOS extender.,,"7-zip, 7z, 7za, archiver",,DOS,"Open source, similar to BSD License",7fe8aa00776ad39661a14c1fb394c8d8d2e371a8383d8d287718d81530180c11
