id,new,title,description,summary,keywords,platforms,copying-policy,sha
lbacache,,LBACACHE,"Disk cache, cached LesevorgÑnge fÅr bis zu 8 CHS-/LBA-Laufwerke und Floppies. Benîtigt XMS und 386 oder besser. Tickle kommt mit lbacache!",,"cache, smartdrv, nwcache","DOS 386+ (NASM assembler), FreeDOS","GNU General Public License, Version 2",29215239007e2208ffbefec7967eae45b6d101f1b9cf2c844bdee347ca261a16
ldebug,,lDebug,Erweiterter Debugger basierend auf FreeDOS Debug.,"Bietet DPMI-Client-UnterstÅtzung fÅr 32-Bit- und 16-Bit-Segmente, einen 686-Level-Assembler und -Disassembler, einen Ausdrucksauswerter, einen InDOS- und einen Bootloaded-Modus, Lesen von Skriptdateien, serielle Port-I/O, permanente Breakpoints, bedingtes Tracing, gepuffertes Tracing und automatische Wiederholung einiger Befehle.","debug, debugger, DPMI debugger, bootable debugger",DOS (Crosscompile von Linux mit NASM und C-Compiler),"Open Source, see License.txt",7a77415447b21761c11cd605e085f111e82a25962fe2a8fc885a7281c94b8eed
less,,less,"Less ist ein Programm Ñhnlich more, jedoch den Nutzer zeilenweise scrollen lÑsst. Au·erdem lÑdt es nicht gleich die ganze Datei beim Programmstart und ist deshalb sehr schnell bereit.",,"less,more,pager, Anzeigen",DOS,Simplified (2-Clause) BSD License,3c4c43b953bcff965037a21338bd0e4f604df1d7be72e41449854593a6703db0
lfndos,,LFNDOS,"Bietet Win95 Long Filename API fÅr DOS-Programme. Jedes LFN-DOS-Programm, wie DOS7 command.com/edit und alle DJGPP Programme kann lange Dateinamen nutzen. Entwickelt fÅr Win95, kann es jedoch auch Ñlteren DOS Versionen lange Dateinamen beibringen.",,"long file name, lfn","DOS, FreeDOS","GNU General Public License, Version 2",fd4e8f60f1bbd1d5840392b65703861831a69a274fb199ae80755d7e5829a404
lha,,LHa for unix,Packer fÅr LHA/LZA Archive.,,"LHA,LHZ,archiver, Packer",DOS,"Open Source, see License.txt",48faa933e1d5dd30173b0bf362a20d70427ab06edd385c4e5c44e8a980005e9f
lincrawl,,Linley's Dungeon Crawl,"Ein spa·iges Spiel in der gro·en Tradition von Rogue, Hack und Moria.",,"games, Spiele","DOS, AmigaOS, MacOS, OS/2, Windows, GNU/Linux",Crawl General Public License,7efe420bbbe9981295cafe197078c821e0845f6bf1e0d35e39c892b7d7f0d313
links,,Links,"Links ist ein Text Mode und Grafik WWW Browser, inspiriert von Lynx.",,"www, browser, internet, network","DOS, FreeDOS","GNU General Public License, Version 2",e990bbdb74f6181f74d95a63387277e8d26baaa877776b4464c516b4900c0843
liquiwar,,Liquid War,Ein einzigartiges Multi-Player Kriegsspiel.,,"games, Spiele, multiplayer, war","DOS, Windows, GNU/Linux, FreeBSD, Mac OS X","GNU General Public License, Version 2",427f5e8f4d3c499e46bc938bf340247868aaca9bb627271ef14c57e29bd53533
listpci,,ListPCI,Zeigt Daten auf PCI-GerÑten an.,"ListPCI ist ein Dienstprogramm zum Auflisten von PCI-GerÑten, das den PCI-Bus des Systems, auf dem es ausgefÅhrt wird, scannt und Daten zu allen gefundenen PCI-GerÑten anzeigt. Es bietet ausfÅhrlichere Daten als andere vergleichbare Anwendungen und ist in seinen Befehlszeilenoptionen flexibler. Mit diesen kînnen Sie die gemeldeten GerÑte nur nach GerÑten einer bestimmten Hersteller-ID oder einer bestimmten Klasse filtern. ListPCI kann auch die Anzahl der passenden GerÑte in der DOS-Systemvariablen ERRORLEVEL zurÅckgeben, was die Integration in Batch-Skripte erleichtert.","device, list, PCI",DOS,"GPLv2, mit Source Code, keine Garantie",d650a348933a56d02f7a41567b0b2c0e5dc99768d8aedd0b763f7d6dea98eb8d
listvesa,,ListVESA,"Dienstprogramm das meldet, welche VESA-Videomodi unterstÅtzt werden.","ListVESA ist ein Dienstprogramm, um zu melden, welche VESA-Videomodi von der Systemhardware unterstÅtzt werden. Sie kînnen Befehlszeilenoptionen verwenden, um die aufgelisteten Informationen auf einen bestimmten Modus, Modi, die eine bestimmte Farbtiefe unterstÅtzen, Modi, die linearen Bildpuffer unterstÅtzen, oder einfach allgemeine Informationen zum Videoadapter selbst ohne detaillierte Bildschirmmodusdaten zuzuschneiden.","list, mode, VESA, video",DOS,"GPLv2, mit Source Code, keine Garantie",79ddbe99a3f0b08a6323d4dae5792b7abd80201196ac36202363658659ceaa6b
localcfg,,localcfg,Tool zum Konfigurieren der locales-Einstellungen.,,country.sys,DOS,Simplified (2-Clause) BSD License,45352cef39e298a2b854a1a6c35e32eff61b9f06933ff0f84955fac6ad94d7e2
localize,,Localize,öbersetzt Text.,,freedos localize batch Lokalisierung,DOS,"GNU General Public License, Version 2",af051b5675b53f552ea4c8711fef7e6f18f0b06a65fdc71388601af7a0b99381
lpq1,,LPQ1,LPQ1 ist ein Datei-Packer und Archivierer.,,"archiver, lpq1, Packer",DOS,"GNU General Public License, Version 3",ec03a189150aebd8e39164a4d2238bd9fc7de778d78ecdcc857d5c7cc59171e6
lptdrv,,LPT Driver,Ein Tool um Hardware am LPT manuell oder nach einem Zeitplan steuern zu kînnen.,,LPT,DOS,Simplified (2-Clause) BSD License,1b9d026dcd6a60f530c2925405b64538dee445c2f3a8e269184e297c32944e68
lsppp,,LSppp,Ein kleiner DOS PPP Pakettreiber.,Ein kleiner DOS PPP Pakettreiber.,packet driver PPP,DOS,"GNU General Public License, Version 2 or later",4e366f6bc3f5374aa59b1780da9294ad5b28dd86ef23b0e20f174c76a381152f
lua,,Lua,LUA ist eine einbettbare Skriptsprache.,,lua,DOS,MIT License,c8c6cd860edec736776bfa42e468a9324594b896b7be1a952b37b01656b6d56c
lynx,,Lynx,Lynx ist einText Mode und Grafik WWW Browser (DJGPP Port).,,"www, browser, internet, network","DOS, FreeDOS","GNU General Public License, Version 2",5942fa4828c61aac25c4e820821e6a0eceb5b5dedd79ac9e8813031c1a385bf9
