id,new,title,description,summary,keywords,platforms,copying-policy,sha
simcoupe,,SimCoupe,"Ein SAM Coupe Emulator.","Ein SAM Coupe Emulator.","sam, coupe, Dmulator","DOS, Windows, MacOS X, GNU/Linux, Windows Mobile, BeOS, QNX, OS/2, AmigaOS, PlayStation Portable, GP2X","GNU General Public License, Version 2",b95d400f7ad73a05ca31a70757c705d2f76f832a2ea5d43b0508b282c794f7af
sleep,,sleep,"Tool, Ñhnlich dem Unix-Tool ""sleep"".","Sleep ist dem gleichnamigen UNIX-Tool Ñhnlich. Sleep kann die AusfÅhrung von Batchdateien fÅr eine bestimmte Zeit pausieren. Sleep gibt an Betriebssysteme, die dies unterstÅtzen, Zeitscheiben ab. Sleep erkennt und berÅcksichtigt auch den DOS-Switchar.","Erweiterung, extension, utility, sleep","DOS, FreeDOS","GNU General Public License, Version 2",7e2794fbeca3a4eb2172050a2d0baeea8f437648663d08aee1e2578e65e87261
slicer,,"File Slicer",Archiv-/Datei-Slicing/Spanningprogramm.,"Ein einfaches Archivierungsdienstprogramm (kein Dateikomprimierungsprogramm) zum Kategorisieren und Splitten gro·er Dateien und Verzeichnisse auf kleinere Medien. Es erfordert einen 8086 mit EGA oder besserer Grafik. (UPX-komprimiert)","dos 16 bit file archive span split slice",DOS,"Simplified (2-Clause) BSD License",4485f4a7716065be8588d46ebf6dfbce0977769e24e44f8b5b6dd75a476444bd
slowdown,,SLOWDOWN,"Verlangsamt einen schnellen Computer.","Verlangsamt einen schnellen Computer. Die Geschwindigkeit ist vollstÑndig Åber die Befehlszeile oder Åber Hotkeys konfigurierbar. Bietet verschiedene Methoden oder Modi um den Computer langsamer zu machen.","slowdown speed, DOS,",DOS,"Freeware, see documentation",ad4f6138b99f7e5c281128eb0babaebb1c57ca35fb3e93a31e6abadcc96152f8
smallbas,,SmallBASIC,"Kleiner BASIC Interpreter.","Kleiner BASIC Interpreter.","Freedos, Basic","PalmOS, VTOS, Franklin's, Linux, Win32, DOS","GNU GPL",0000000000000000000000000000000000000000000000000000000000000000
smiley,,Smiley,"Ein einfaches Spiel im Stil von Pong.","Ein einfaches Spiel im Stil von Pong, hauptsÑchlich zum Testen verschiedener Aspekte der Inferno Game Engine. Erfordert VGA und 386+. Eine Maus wird dringend empfohlen.","DOS, games, Spiele",DOS,"BSD 3-Clause License",298b004fca325f2efdf88c3914ba428353515fb76ae5032e1b9645ef72812785
sneese,,SNEeSe,"Super NintEndo Entertainment Systememulator.","SNEeSe ist ein Super NintEndo Entertainment Systememulator.","Nintendo, Emulator, games, Spiele","DOS, Windows, GNU/Linux, Unix, BeOS","Clarified Artistic License",9b9f4624685e10f269d3f4f1153ddc91cf4d9dee18f7fa701fcee83409b0f9cf
snova,,Supernova,"Zukunfts-Adventure Spieleset, textbasiert.","Textbasiertes Adventure Spieleset, welches in der Zukunft spielt.","games, Spiele",DOS,"GNU General Public License, Version 2",3083f97f835d1a018e1af82832843362c981a19ef9ce2ac3f53db0d6883146b6
sort,,sort,"Sortiert den Inhalt einer Textdatei.","Sortiert den Inhalt einer Textdatei, optional mit der NLS-Vergleichstabelle.","sort, text, file, Textdatei, sortieren","DOS (z.B. Borland Turbo C), enthÑlt eigene KITTEN Bibliotheksversion, FreeDOS","GNU General Public License, Version 2",a186099808deaa4982b46efcf960b41d4934a87778e3f3a7f869578a10dc513a
spool,,Spool,"Druckt im Hintergrund.","Druckt im Hintergrund. Braucht das DOS-Tool PRINT nicht.","print, spool, spooler","DOS, FreeDOS","Public Domain",45fda35027d78508d7530d7feaebd9151c7a4e9fae5d5291a83b80a844fa3b8a
sqlite,,SQLite,"Eine integrierbare SQL Datenbank Engine.","Eine integrierbare SQL Datenbank Engine.","sql, sqlite",DOS,"Public Domain",3db72ed983fc7ac75a8da8bc305436a9e189fe4ef764b750ffb6e3c1a8fdf26f
