id,new,title,description,summary,keywords,platforms,copying-policy,sha
pakupaku,*,Paku Paku,A pacman clone using text mode only.,,,,Public Domain,
patchcrt,*,PatchCRT,patch runtime error 200 in Turbo Pascal programs.,,"DOS, Patch, TP7, Pascal",,"Freeware, see documentation",
pausesys,*,Pause (Config.sys),"device driver to pause ""config.sys"" processing",,"dos, boot, config, fdconfig, system, driver",,'Modified' BSD License,
pgm72,*,Program Manager,"Program Manager v7.2b application and utility launcher for DOS. (Requires mouse, old version replaced by PGME)",,dos launch pgm menu 16 bit,,"Mozilla Public License, version 2",
pmodew,*,PMODE/W,PMODE/W is a DOS extender for use with the Watcom C/C++ compiler. It is designed to be a fairly functional drop-in replacement for DOS4GW.EXE.,,"extender, DPMI, DJGPP, DOS/4G",,Free w/Sources (No Derivative Works),
printq,*,PrintQ,An external print queue manager for the FreeDOS PRINT command.,,"freedos, print, spool",,public domain,
prntscr,*,PrintScreen,sends PrintScreen requests to a file instead of printer.,,DOS,,"Freeware, see documentation",
prntscrf,*,PrintScreen FF,modifies PrintScreen requests to put each on a new sheet of paper,,DOS,,"Freeware, see documentation",
quadnet,*,Quadnet,Fastpaced cosmic-like shooter,,,,Freeware,
rerror,*,Rerror,"Captures stderr and stdout output from programs, and saves them to a file.",,"stderr, stdout, capture, output",,Free,
ripcord,*,RIPCORD,Gives version information about each program in this distribution,,freedos dos ripcord version program number,,Public Domain,
robotred,*,Robot Redemption,Rescue robots on Jupiter's moons,,"FPS, 3d",,GNU General Public License and Creative Commons,
romos,*,ROMOS,Boot from external ROM or system BIOS without disks,ROMOS can boot FreeDOS from external ROM or system BIOS without disks,"ROM,BIOS,Flash,ISA ROM module,DOS,NASM,AWARD,HOTFLASH,CPUID,microcode",,"GNU General Public License, Version 2",
sbmix,*,SBMix,display and change SoundBlaster Pro (and compatibles) mixer settings,"SBMIX is a tiny program to display and change SoundBlaster Pro (and compatibles) mixer settings, i.e., Master, Wave, FM, CD, Line and Mic volumes, directly from DOS command line. It may be required with some cards to hear anything under plain DOS, as some cards are initialized with zero volume.","dos, sound blaster, audio, volume",,'Modified' BSD License,
sce,*,SCE,System Configuration Editor,"SCE is a configuration file editor based on Turbo Pascal 7's Turbo Vision. It automatically opens system configuration files such as FDAUTO.BAT, CONFIG.NT and WIN.INI for editing.","edit, system, config, dos, windows",,"GNU General Public License, version 2",
sdwrgmpd,*,SideWinder GamePad Driver,use your a Microsoft SideWinder GamePad in DOS.,,"DOS, GAME",,"Freeware, see documentation",
serilmon,*,Serial,TSR to monitor current status of serial COM ports.,,"DOS, GAME",,"Freeware, see documentation",
shsucd,*,SHSUCD Suite,The SHSUCD suite is a set of programs dealing with the CD-ROM.,The SHSUCD suite is a set of programs dealing with the CD-ROM. They allow access to the CD-ROM as a normal drive letter; create an image file from the contents of a CD-ROM; access an image file as a drive; and test certain CD-ROM functions. These drivers are installed to a DRIVERS directory to prevent a conflict with the SHSUCDX package provided with FreeDOS.,"mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom, shsucdx, shsucdhd, shsucdrd, shsudvhd, shsucdri, omi, isobar, cdtest, smarter",,"Open Source (copyright reserved, free use program)",
