id,new,title,description,summary,keywords,platforms,copying-policy,sha
causeway,,CauseWay,CauseWay DOS extender,CauseWay DOS extender. TillhandahÜller stîd fîr program som anvÑnder protected mode. (Liknar DOS4GW.),"dos, dos4gw, asm, watcom, extender",DOS,Public Domain,2e140a4a956231e14b5f3c196ac9c28f04c931e6968499372e5b3c3e679f152a
cdogs,,C-DOGS,C-DOGS Ñr en efterfîljare till Cyberdos (gÜ runt och slÜ ihjÑl fiender),,,dos,Free w/Sources,0df0adc807e652aefbfae9e6af6ce603dee4908c2decf01e724b0efe5cf2449c
cdp,,CDP,Audio CD-spelare fîr DOS kommandorad,,"cdp, ljud, cd-rom","DOS, FreeDOS",Freeware,e6f9ee79dea40faa91a39f2d11979125181664d8d7496b0686c5de6387d3cd6d
cdrcache,,cdrcache,"CD-ROM-cache, cachar lÑsningar fîr en enhet, XMS, 386 eller bÑttre",,"cache, freedos, smartdrv, cd-rom",,"GNU General Public License, Version 2",245ab1d62bab1950c6b9bc9a7fc9538debceb34b0aef6bcc343cc55c709e1aa4
cdrom2ui,,cdrom2ui,"Ett litet verktyg fîr att mata ut, stÑnga spÜret, lÜsa, lÜsa upp eller ÜterstÑlla en CD-ROM efter enhetsbokstav.",,"freedos, cd-rom",,"GNU General Public License, Version 2",c04c7f9d2ea4bf369f73604d901b0bd8e561fe7951400e99c4ef71302dd823c1
chicken2,,Chicken 2,Ett skjutspel som handlar om kycklingar,,,DOS,Emailware,eb8d733eb194e7b0e124726e251adb445be4b9548e7f48dfc569142407e351d2
chkdsk,,CHKDSK,Kontrollera disken efter fel.,,kontrollera diskfel,"DOS, FreeDOS","GNU General Public License, Version 2",5018303e9f8943e5b3bbcfee3330a5ebbe4159a0230d0dd26ba02ddcc7276c75
choice,,choice,Presentera ett alternativ fîr anvÑndaren och vÑnta pÜ en tangent (anvÑnder kitte istÑllet fîr cats),,freedos,DOS **krÑver KITTEN,"GNU General Public License, Version 2",58fdb663b7bf4443afdf6d692a265af7db48f40d875e3139d0d593cb50fa5a53
clamav,,Clam Anti-Virus (ClamAV),ClamAV genomsîker filer och kataloger efter virus,,"clamav, av, anti-virus, virus","Unix, Windows, BeOS, DOS","GNU General Public License, Version 2",0b1539773ba7819963acdc930d3fc2182380e2a7f17e66c0fe17abc443b39195
clamdb,,Clam Anti-Virus-databas,Virus-databasen fîr ClamAV,,"clamav, av, anti-virus, virus, db, databas",Plattformsoberoende,"GNU General Public License, Version 2",adfc3d082c8f7f31f2a2d16b1198df4c545909c4543e686923b21ddc571bb5dc
cmdedit,,CmdEdit,TSR-verktyg (avsluta och fîrbli resident) som tillhandahÜller fulla redigeringsfunktioner fîr DOS-grÑnssnittet,"Ett TSR-verktyg (avsluta och fîrbli resident) som tillhandahÜller fulla redigeringsfunktioner fîr DOS-grÑnssnittet; stackar kommandon och enhet-/katalogpar fîr ÜteranvÑnding; har stîd fîr definierbara variabler och programmerbara defintioner fîr funktionstangenter och makron; tillhandahÜller valfri autokomplettering av kommandon och (lÜnga) filnamn, tillsammans med kîrbara Ñndelser och kataloger; mîjligtgîra Ñndring av enhet och katalog samtidigt. Klammerexpansion och flera kommandon pÜ en rad stîds ocksÜ.",dos 16-bitars redigeringskommando,DOS,Free w/sources,ed30941f10b25403fb0a52e0b5608fd9b8249cb04847c0e65dd92b8aa1c03c72
cmos,,CMOS.COM,Spara och ÜterstÑll CMOS-minnet,,CMOS FreeDOS,DOS,GPL,56211e778bb2f66f07c74b6cc1dd11ab159cb857184eebcc562394bd2b1c4eb1
comp,,COMP,JÑmfîr filer och visa deras skillnader,,"jÑmfîr, comp, filjÑmfîrelse","DOS, FreeDOS",MIT license,db613e09a0e8b385ebee6122b56b02571a75a1900f403f94997f9af78327de21
compinfo,,compinfo,Visa information om din PC,,"freedos, dator, information, compinfo",dos,GPL,fa5a180d00dc219ef232da822198b4632976dbed7f2b834b7554fbd73c4a2df3
compute,,COMPUTE,BerÑkna ett given matematiskt uttryck,,"freedos, uttryck, tolk, matematik, berÑkna",freedos,GNU GPL,ab0d970b964554050d8c41f997db6914bc3e9c87bb6e6df0cbe2f6f3bca284e0
cpidos,,CPI (Code Page Information)-paket,"Paket DISPLAY-typ, UPX-komprimerade CPI-filer fîr diverse DOS-kodsidor.",,"visa, kodsida, cp, dos kodsida, dos cp, teckenuppsÑttning",FreeDOS,"GNU General Public License, Version 2",a921fccf3ff7e46356eea6d1f3176c51bc458a56d9d4a3bcd2372b466a12f38e
cpied,,cpied,En GUI-driven CPI-typsnittsredigerare,,"cpi,cpx,typsnitt,redigerare",DOS,"GNU General Public License, Version 3",d7b12d3f20954dfef2d6ef9e9cbd4b18e0ffac22e1b2766596210a056682b0a0
cpp2ccmt,,cpp2ccmt,En C++- till C-kommentarskonvertor.,,kommentarer,DOS,"GNU Lesser General Public License, Version 2.1",9a96ba89ff873c55174555650978d0bfd7d372e5385523145f52f9b596c282bc
crc32,,CRC32,BerÑknar standard 32-bitars CRC-kontrollsummor fîr filer,,crc32,dos,Public Domain,573188666dd4f5d7a686ba8f964993f7f81c80ed2a70792815d5960c4fb803d7
crynwr,,Crynwr,En samling av fria paketdrivrutiner frÜn fîretaget Crynwr,,paket,DOS,Open source,6b1bd47bf4a68a30ecca881a863e30cd8259929db93450fddb7e28cfc161d572
csphinx,,Sphinx C--,Sprinx C-- Ñr en kompilator halvvÑgs mellan C och assembler,,,DOS,Greenware,8fba74099d6150a36451883c7f5fc79f43a34d1836a58d3275d74e627840125d
ctmouse,,CTMouse,FreeDOS musdrivrutin,,"Mus, hjul",FreeDOS,"GNU General Public License, Version 2",e2fd95cd7f618dabb0eb9b55a74c9c388b16df28b45dad88d659217eb2037594
curl,,cURL,Curl Ñr ett kommandoradsverktyg fîr att îverfîra data angiven med URL-syntax.,,"freedos, curl",FreeDOS,Open source,e557964cb79d8e8e056116cf3015eb9249849cc787fde572043b39f44337d809
cwsdpmi,,CWSDPMI,32-bitars DPI DOS extender designad fîr DJGPP.,,"extender, DPMI, DJGPP","DOS, FreeDOS","GNU General Public License, Version 2",82fe31e6757f72930e53c2ee6535670e24a8aa80742319c625f67229d38e9878
cyberdog,,Cyberdogs,GÜ runt och slÜ ihjÑl fiender,,,dos,Public Domain,b82faf4be86ea46beebe9c32f85d64eef1ad181ac6609cc080b59ebc585eac1f
daa2iso,,DAA2ISO,Ett verktyg fîr att konvertera enkla och flerdelars DAA- och GBI-bilder till ursprungligt ISO-format.,,"daa2iso,poweriso",DOS,"GNU General Public License, Version 2",f153e6173fd60e8b793830362effbcd9f83cfad90e365d5c7621eda1c2713e2d
debug,,DEBUG,Ett verktyg fîr programtestning och redigering,,"32-bitars avlusare, felsîkning, avlusare, DPMI-avlusare, kÑrnavlusare","DOS (assemblera med NASM), FreeDOS",MIT license,225208aca1faa54846afe513c191357c3760ea7cc0b8d5b1b9bef96c77aeff4c
defrag,,Defrag,Defragmenteringsverktyg.,,defragmenterare,FreeDOS,"GNU General Public License, version 2",46eb7d50e7eb5d982bc174c16a67c2370174ef1c8d6db8e8c60052c3db914b98
deltree,,DELTREE,Ta bort filer och kataloger med all inkluderade filer och underkataloger!,,"freedos, ta bort, trÑd","DOS, FreeDOS","GNU General Public License, Version 2",604e161d120446a796e1ed83ebe3efbbaf5e2c18539b386fcd5ce13a3fdf59b9
demosapa,,Assistance demo,Ett enkelt paket fîr att demonstrera hur ett anpassat assistans program kan anvÑndas.,Ett enkelt paket fîr att demonstrera anvÑndning av anpassade assitansprogram som automatiskt kan byggas in i byggmiljîn fîr FreeDOS dÜ en anpassad installationsmedia skapas. Paketet kommer att sjÑlvstarta pÜ USB och CD-ROm-media. Det kommer ocksÜ att installeras och anvÑndas i bÜde GRUNDLéGGANDE och FULL installationstyp.,freedos,DOS,Public Domain,3fed2d43061859369924cf347f43e265f6dbb1c4fadb3a5f4d7f8abe2fc266d7
devload,,devload,"InlÑsningprogram fîr drivrutiner pÜ kommandoraden, har stîd fîr UMB:er",,"kommandorad, enhet, drivrutin, lÑs in, ctload, devload","DOS, NASM, FreeDOS","GNU General Public License, Version 2",f49db9eceab3494f57ddc3ce30da49d2869810459125f62bb905086d1ef818fa
dialog,,Dialog,Visa dialogrutor i skalskript,,"dialog, curses","DOS, Unix, Windows, Curses, GTK","GNU Lesser General Pubic License, Version 2.1",06c4a58e1977014966ea096caf5b5f0d4149d6b9567678f6a3b8aee16a18152f
dillo,,Dillo,En grafisk webblÑsare kÑnd fîr sin hastighet och lilla minnesavtryck.,,"dillo, webb, www, lÑsare",DOS,"GNU General Public License, Version 3",2628ebce3599041976a22d10f74317dd04b63002905078ee0b50866dab78ed32
diskcomp,,DISKCOMP,DiskjÑmfîreelseverktyg,,"diskcomp, jÑmfîr, diskar","DOS, FreeDOS","GNU General Public License, Version 2",0c894ec1b30b5ab4bb5e7ccde6179790380b56ce78c9a7b47a6259299091519f
diskcopy,,DiskCopy,Kopiera en disk eller avbildningsfil till en annan,,"Freedos, disk, diskcopy, kopiera","DOS, FreeDOS","GNU General Public License, Version 2",2144ce0024cc273eecbe2a9855d1005d949beb7b1a5af033f85e8eff85ecc098
display,,DISPLAY,FreeDOS drivrutin fîr kodsideshantering (skÑrm eller skrivare),,"visa, ega, vga, nls, cpi, cpx","DOS, FreeDOS","GNU General Public License, Version 2",f2a0b1d909361511b47ab5f0b13f4be8dec8277cc262d218690f3b2584c40c80
djgpp,,DJGPP,DJGPP-miljî,,"gcc, compiler, c, djgpp",DOS,"GNU General Public License, Version 2",d46da4bdfd608d69e757b932d5c13bc3f099b4da7217b0607fc287a705f2ef6c
djgpp_bn,,DJGPP binutils,"DJGPP binutils: lÑnkare, assemblator, etc...",,"gcc, make, kompilator, c, djgpp",DOS,GNU General Public License,7051174e5e097b09bf309ea51009298f6977b9a719d1b9f903d1e2b192d37b44
djgpp_bs,,DJGPP Bison,DJGPP Bison (en tolkgenerator som Ñr kompatibel med YACC),,"bison, djgpp",DOS,GNU General Public License,3c3956e74c446eb8ee13ac4f235b1ae1343f576a6308f3462447a6e5f33470f5
djgpp_db,,DJGPP GDB,DJGPP-avlusare (GDB),,"gcc, gdb, djgpp",DOS,GNU General Public License,543ff1fa30a6e25331bc5c6d7cc6a9c024ded9e5679ca07bc4214c205acd6590
