id,new,title,description,summary,keywords,platforms,copying-policy,sha
ihpfs,,iHPFS,"Mapppe une partition HPFS (OS/2) en tant que lecteur sous DOS pur (en lecture uniquement)",,"tsr, os/2, lecteur",dos,"Licence publique gÇnÇrale GNU, version 2",e46a761372096d618ab56296bc22bcacc7a3d00e1078213a87669759f52e0ce4
imgedit,,ImgEdit,"êditeur simple d'images surtout pour crÇer des graphiques pour le moteur Danger","Un Çditeur simple de pixels essentiellement pour crÇer des graphiques pour le moteur Danger. Possäde une prise en charge limitÇe des formats non natifs tels que BMP. ∑ l'heure actuelle, certaines options (comme la taille de l'image) ne peuvent àtre dÇfinies que depuis la ligne de commande. Comprend Çgalement IMGVIEW, un visionneur simple. NÇcÇssite 386+, VGA et une souris. (CompressÇ avec UPX)","dos, jeu, images, sprites, igg, igs, bmp, dÇveloppement, dev",DOS,"Licence BSD Ö 3 clauses",a7f4f564db7b1969b6043561c4ee8028720415e4ec7b960c0199566e1fabb876
insight,,"Insight Debugger","DÇbogueur mode rÇel DOS 16 bits",,"freedos, dÇbogueur, dÇbogage",dos,"Licence publique gÇnÇrale GNU, version 2",6169fc67d49471e2250869d927593f292f95b7f0b2278d11c16c69e992bea27e
installx,,"FreeDOS v1.1 Installer","INSTALL est une interface utilisateur en mode texte pour installer des paquets FreeDOS (compressÇs/zip).",,"freedos, installation, installer, configurer, zip, unzip","DOS (openwatcom)","Licence publique gÇnÇrale GNU",88773c7296d9daa3028d0424b398ea5faae16e35dbd962a6dc1969d4031c3a1d
ivan,,"Iter Vehems ad Necem","Un jeu graphique similaire Ö rogue","Un jeu graphique similaire Ö rogue.",,"DOS, Windows","Licence publique gÇnÇrale GNU, version 2",07d96ab110e6af846b8b2a80df43f3901480603fb08431f456d8af5702bf669d
jemm,,JEMM386,"Jemm386 est un gestionnaire de mÇmoire Çtendu","Jemm386 est un gestionnaire de mÇmoire Çtendu pour DOS, basÇ sur la source de FreeDOS EMM386. Il prÇsente plusieurs avantages par rapport Ö EMM386 FreeDOS et/ou MS-DOS. * nÇcessite seulement 192 octets de mÇmoire DOS * nÇcessite träs peu de mÇmoire Çtendue * est plus rapide * fonctionne avec  MS-DOS, FreeDOS et EDR-DOS * utilisera des fonctionnalitÇs implÇmentÇes sur des processeurs ultÇrieurs pour augmenter la vitesse * contrairement Ö FreeDOS Emm386, Jemm386 prend en charge complätement le VDS * peut àtre chargÇ depuis la ligne de commande","HIMEM + EMM386, STABLE, COMPATIBILITê, gestionnaire de mÇmoire, jemmex, himemx","DOS, FreeDOS","Licence artistique",44d57b580d6bff7db25f81e6793c3938be92858f9765b6d67527805460bd2e17
joykeys,,JoyKeys,"Utiliser une manette avec n'importe quel programme",,"DOS, JEUX",DOS,"Freeware, cf. la documentation",0cd7b6c7077ee74afc56ac519129b16270ae6f16b46b89fe31539320ae0e6e72
jsh,,jSH,"Un moteur de script JavaScript pour DOS","JSH est un interpräte de script pour les systämes d'exploitation basÇs sur DOS comme MS-DOS, Freedos ou n'importe quelle Windows basÇ sur DOS  (comme 95, 98, ME). L'accent est mis sur les interfaces utilisateur texte et sur l'e/s des fichiers. JSH est un projet paralläle Ö DOjS, une toile JavaScript pour le codage crÇatif.","java, JavaScript",DOS,"Licences diverses, cf. fichier LICENSE",0000000000000000000000000000000000000000000000000000000000000000
jumpbump,,"Jump'n Bump","Jump'n Bump est un jeu de tir sanglant avec des lapins duveteux",,,DOS,Emailware,884be69a5a0fd2dd42d3ce76fe4e77d470f4fbb88c18ac1f183711ee4b6509b7
jwasm,,JWasm,"JWasm est un assembleur libre compatible avec MASM","JWasm est un assembleur libre compatible avec MASM prenant en charge la gÇnÇration de code 16, 32 et 64 bits.","asm, compilateur, assembleur, wasm, jwasm","DOS, FreeDOS","Sybase Open Watcom Public License, Version 1.0",b7e86afd5cee898bbdb77db5a7de8aca82a19a1526c6a7987347538ddf34d15e
